,SeriesName,SeriesStartYear,IssueNum,IssueType,CoverDate,Name,SeriesID,IssueID,CV Series Name,CV Series Year,CV Cover Image,CV Issue URL,Days Between Issues
1,Guardians of the Galaxy,2008,7,Issue,2009-01-01,Comicvine,21550,143271,Guardians of the Galaxy,2008, ,https://comicvine.gamespot.com/guardians-of-the-galaxy-7-no-future/4000-143271/,31 days 00:00:00
2,Guardians of the Galaxy,2008,8,Issue,2009-02-01,Comicvine,21550,149462,Guardians of the Galaxy,2008, ,https://comicvine.gamespot.com/guardians-of-the-galaxy-8-past-mistakes/4000-149462/,28 days 00:00:00
3,Guardians of the Galaxy,2008,9,Issue,2009-03-01,Comicvine,21550,150566,Guardians of the Galaxy,2008, ,https://comicvine.gamespot.com/guardians-of-the-galaxy-9-prison-break/4000-150566/,31 days 00:00:00
4,Guardians of the Galaxy,2008,10,Issue,2009-04-01,Comicvine,21550,152248,Guardians of the Galaxy,2008, ,https://comicvine.gamespot.com/guardians-of-the-galaxy-10-blastaared/4000-152248/,30 days 00:00:00
5,Guardians of the Galaxy,2008,11,Issue,2009-05-01,Comicvine,21550,153450,Guardians of the Galaxy,2008, ,https://comicvine.gamespot.com/guardians-of-the-galaxy-11-welcome-to-oblivion/4000-153450/,0 days 00:00:00
6,Guardians of the Galaxy,2008,12,Issue,2009-05-01,Comicvine,21550,153961,Guardians of the Galaxy,2008, ,https://comicvine.gamespot.com/guardians-of-the-galaxy-12-sacrifice/4000-153961/,182 days 00:00:00
7,Secret Invasion: Inhumans,2008,1,Issue,2008-10-31,Comicvine,22575,135458,Secret Invasion: Inhumans,2008, ,https://comicvine.gamespot.com/secret-invasion-inhumans-1-family-part-1-of-4/4000-135458/,30 days 00:00:00
8,Secret Invasion: Inhumans,2008,2,Issue,2008-11-30,Comicvine,22575,138408,Secret Invasion: Inhumans,2008, ,https://comicvine.gamespot.com/secret-invasion-inhumans-2-family-part-2-of-4/4000-138408/,31 days 00:00:00
9,Secret Invasion: Inhumans,2008,3,Issue,2008-12-31,Comicvine,22575,140150,Secret Invasion: Inhumans,2008, ,https://comicvine.gamespot.com/secret-invasion-inhumans-3-family-part-3-of-4/4000-140150/,31 days 00:00:00
10,Secret Invasion: Inhumans,2008,4,Issue,2009-01-31,Comicvine,22575,143152,Secret Invasion: Inhumans,2008, ,https://comicvine.gamespot.com/secret-invasion-inhumans-4-family-part-4-of-4/4000-143152/,428 days 00:00:00
11,X-Men: Emperor Vulcan,2007,1,Issue,2007-11-30,Comicvine,19130,114391,X-Men: Emperor Vulcan,2007, ,https://comicvine.gamespot.com/x-men-emperor-vulcan-1/4000-114391/,31 days 00:00:00
12,X-Men: Emperor Vulcan,2007,2,Issue,2007-12-31,Comicvine,19130,115527,X-Men: Emperor Vulcan,2007, ,https://comicvine.gamespot.com/x-men-emperor-vulcan-2/4000-115527/,31 days 00:00:00
13,X-Men: Emperor Vulcan,2007,3,Issue,2008-01-31,Comicvine,19130,118122,X-Men: Emperor Vulcan,2007, ,https://comicvine.gamespot.com/x-men-emperor-vulcan-3/4000-118122/,29 days 00:00:00
14,X-Men: Emperor Vulcan,2007,4,Issue,2008-02-29,Comicvine,19130,120631,X-Men: Emperor Vulcan,2007, ,https://comicvine.gamespot.com/x-men-emperor-vulcan-4/4000-120631/,31 days 00:00:00
15,X-Men: Emperor Vulcan,2007,5,Issue,2008-03-31,Comicvine,19130,122474,X-Men: Emperor Vulcan,2007, ,https://comicvine.gamespot.com/x-men-emperor-vulcan-5/4000-122474/,365 days 00:00:00
