,SeriesName,SeriesStartYear,IssueNum,IssueType,CoverDate,Name,SeriesID,IssueID,CV Series Name,CV Series Year,CV Cover Image,CV Issue URL,Days Between Issues
1,Tony Stark: Iron Man,2018,12,Issue,2019-08-01,Comicvine,111704,710695,Tony Stark: Iron Man,2018, ,https://comicvine.gamespot.com/tony-stark-iron-man-12-thou-covetous-wyrm/4000-710695/,0 days 00:00:00
2,Tony Stark: Iron Man,2018,13,Issue,2019-08-01,Comicvine,111704,711960,Tony Stark: Iron Man,2018, ,https://comicvine.gamespot.com/tony-stark-iron-man-13-the-starkronomicon/4000-711960/,61 days 00:00:00
3,War of the Realms,2019,1,Issue,2019-06-01,Comicvine,118154,705490,War of the Realms,2019, ,https://comicvine.gamespot.com/war-of-the-realms-1-chapter-one-the-last-realm-sta/4000-705490/,0 days 00:00:00
4,War of the Realms: Punisher,2019,1,Issue,2019-06-01,Comicvine,118401,706428,War of the Realms: Punisher,2019, ,https://comicvine.gamespot.com/war-of-the-realms-punisher-1/4000-706428/,30 days 00:00:00
5,War of the Realms: Punisher,2019,2,Issue,2019-07-01,Comicvine,118401,709737,War of the Realms: Punisher,2019, ,https://comicvine.gamespot.com/war-of-the-realms-punisher-2/4000-709737/,31 days 00:00:00
6,War of the Realms: Punisher,2019,3,Issue,2019-08-01,Comicvine,118401,712559,War of the Realms: Punisher,2019, ,https://comicvine.gamespot.com/war-of-the-realms-punisher-3/4000-712559/,61 days 00:00:00
7,War of the Realms: Journey Into Mystery,2019,1,Issue,2019-06-01,Comicvine,118281,705938,War of the Realms: Journey Into Mystery,2019, ,https://comicvine.gamespot.com/war-of-the-realms-journey-into-mystery-1-chapter-o/4000-705938/,0 days 00:00:00
8,Unbeatable Squirrel Girl,2015,43,Issue,2019-06-01,Comicvine,85601,705936,The Unbeatable Squirrel Girl,2015, ,https://comicvine.gamespot.com/the-unbeatable-squirrel-girl-43/4000-705936/,0 days 00:00:00
9,Asgardians of the Galaxy,2018,8,Issue,2019-06-01,Comicvine,113217,705912,Asgardians of the Galaxy,2018, ,https://comicvine.gamespot.com/asgardians-of-the-galaxy-8/4000-705912/,30 days 00:00:00
10,Fantastic Four,2018,10,Issue,2019-07-01,Comicvine,112685,710104,Fantastic Four,2018, ,https://comicvine.gamespot.com/fantastic-four-10-neighboring-realm/4000-710104/,30 days 00:00:00
11,Venom,2018,13,Issue,2019-06-01,Comicvine,110770,706974,Venom,2018, ,https://comicvine.gamespot.com/venom-13/4000-706974/,30 days 00:00:00
12,Venom,2018,14,Issue,2019-07-01,Comicvine,110770,709734,Venom,2018, ,https://comicvine.gamespot.com/venom-14/4000-709734/,31 days 00:00:00
13,Venom,2018,15,Issue,2019-08-01,Comicvine,110770,711338,Venom,2018, ,https://comicvine.gamespot.com/venom-15/4000-711338/,61 days 00:00:00
14,Thor,2018,12,Issue,2019-06-01,Comicvine,111590,706421,Thor,2018, ,https://comicvine.gamespot.com/thor-12-the-war-of-the-lokis/4000-706421/,0 days 00:00:00
15,War of the Realms,2019,2,Issue,2019-06-01,Comicvine,118154,706427,War of the Realms,2019, ,https://comicvine.gamespot.com/war-of-the-realms-2-chapter-two-the-midgard-massac/4000-706427/,30 days 00:00:00
16,Asgardians of the Galaxy,2018,9,Issue,2019-07-01,Comicvine,113217,709713,Asgardians of the Galaxy,2018, ,https://comicvine.gamespot.com/asgardians-of-the-galaxy-9/4000-709713/,30 days 00:00:00
17,Avengers,2018,18,Issue,2019-06-01,Comicvine,110496,706941,Avengers,2018, ,https://comicvine.gamespot.com/avengers-18-crisis-on-ten-realms/4000-706941/,30 days 00:00:00
18,Avengers,2018,19,Issue,2019-07-01,Comicvine,110496,709714,Avengers,2018, ,https://comicvine.gamespot.com/avengers-19-the-man-in-the-mountain/4000-709714/,30 days 00:00:00
19,War of the Realms: Uncanny X-Men,2019,1,Issue,2019-06-01,Comicvine,118545,706976,War of the Realms: Uncanny X-Men,2019, ,https://comicvine.gamespot.com/war-of-the-realms-uncanny-x-men-1/4000-706976/,30 days 00:00:00
