,SeriesName,SeriesStartYear,IssueNum,IssueType,CoverDate,Name,SeriesID,IssueID,CV Series Name,CV Series Year,CV Cover Image,CV Issue URL,Days Between Issues
1,Wolverine,2010,1,Issue,2010-11-01,Comicvine,35263,232524,Wolverine,2010, ,https://comicvine.gamespot.com/wolverine-1-wolverine-goes-to-hell-part-1-last-sta/4000-232524/,0 days 00:00:00
2,Daken: Dark Wolverine,2010,1,Issue,2010-11-01,Comicvine,35409,233620,Daken: Dark Wolverine,2010, ,https://comicvine.gamespot.com/daken-dark-wolverine-1-empire-pt-1/4000-233620/,0 days 00:00:00
3,X-23,2010,1,Issue,2010-11-01,Comicvine,35496,234641,X-23,2010, ,https://comicvine.gamespot.com/x-23-1-the-killing-dream-part-1/4000-234641/,30 days 00:00:00
4,Wolverine,2010,2,Issue,2010-12-01,Comicvine,35263,237113,Wolverine,2010, ,https://comicvine.gamespot.com/wolverine-2-wolverine-goes-to-hell-part-2-scorched/4000-237113/,0 days 00:00:00
5,Daken: Dark Wolverine,2010,2,Issue,2010-12-01,Comicvine,35409,238326,Daken: Dark Wolverine,2010, ,https://comicvine.gamespot.com/daken-dark-wolverine-2-empire-pt-2/4000-238326/,0 days 00:00:00
6,X-23,2010,2,Issue,2010-12-01,Comicvine,35496,239137,X-23,2010, ,https://comicvine.gamespot.com/x-23-2-the-killing-dream-part-2/4000-239137/,31 days 00:00:00
7,Wolverine,2010,3,Issue,2011-01-01,Comicvine,35263,240986,Wolverine,2010, ,https://comicvine.gamespot.com/wolverine-3-wolverine-goes-to-hell-part-3-scorched/4000-240986/,0 days 00:00:00
8,Daken: Dark Wolverine,2010,3,Issue,2011-01-01,Comicvine,35409,244790,Daken: Dark Wolverine,2010, ,https://comicvine.gamespot.com/daken-dark-wolverine-3-empire-pt-3/4000-244790/,0 days 00:00:00
9,X-23,2010,3,Issue,2011-01-01,Comicvine,35496,244789,X-23,2010, ,https://comicvine.gamespot.com/x-23-3-the-killing-dream-part-3/4000-244789/,31 days 00:00:00
10,Wolverine,2010,4,Issue,2011-02-01,Comicvine,35263,249226,Wolverine,2010, ,https://comicvine.gamespot.com/wolverine-4-wolverine-goes-to-hell-part-4-scorched/4000-249226/,28 days 00:00:00
11,Wolverine,2010,5,Issue,2011-03-01,Comicvine,35263,258414,Wolverine,2010, ,https://comicvine.gamespot.com/wolverine-5-wolverine-goes-to-hell-part-5/4000-258414/,31 days 00:00:00
12,Wolverine,2010,5.1,Issue,2011-04-01,Comicvine,35263,261260,Wolverine,2010, ,https://comicvine.gamespot.com/wolverine-5-1-happy/4000-261260/,0 days 00:00:00
13,Wolverine,2010,6,Issue,2011-04-01,Comicvine,35263,262617,Wolverine,2010, ,https://comicvine.gamespot.com/wolverine-6-wolverine-vs-the-x-men-part-1/4000-262617/,30 days 00:00:00
14,Wolverine,2010,7,Issue,2011-05-01,Comicvine,35263,267089,Wolverine,2010, ,https://comicvine.gamespot.com/wolverine-7-wolverine-vs-the-x-men-part-2-of-3/4000-267089/,50 days 00:00:00
15,Wolverine,2010,8,Issue,2011-06-20,Comicvine,35263,268747,Wolverine,2010, ,https://comicvine.gamespot.com/wolverine-8-wolverine-vs-the-x-men-part-3/4000-268747/,0 days 00:00:00
