,SeriesName,SeriesStartYear,IssueNum,IssueType,CoverDate,Name,SeriesID,IssueID,CV Series Name,CV Series Year,CV Cover Image,CV Issue URL,Days Between Issues
1,Incredible Hulk,2000,106,Issue,2007-07-01,Comicvine,6558,108922,Incredible Hulk,2000, ,https://comicvine.gamespot.com/incredible-hulk-106-warbound-part-1/4000-108922/,30 days 00:00:00
2,World War Hulk Prologue: World Breaker,2007,1,Issue,2007-07-31,Comicvine,18537,108929,World War Hulk Prologue: World Breaker,2007, ,https://comicvine.gamespot.com/world-war-hulk-prologue-world-breaker-1-casus-bell/4000-108929/,1 days 00:00:00
3,World War Hulk,2007,1,Issue,2007-08-01,Comicvine,18686,110435,World War Hulk,2007, ,https://comicvine.gamespot.com/world-war-hulk-1/4000-110435/,0 days 00:00:00
4,Iron Man,2005,19,Issue,2007-08-01,Comicvine,18220,110667,Iron Man,2004, ,https://comicvine.gamespot.com/issue/4000-110667/,31 days 00:00:00
5,Irredeemable Ant-Man,2006,10,Issue,2007-09-01,Comicvine,18227,111374,The Irredeemable Ant-Man,2006, ,https://comicvine.gamespot.com/the-irredeemable-ant-man-10-world-war-hulk/4000-111374/,31 days 00:00:00
6,Ghost Rider,2006,12,Issue,2007-08-01,Comicvine,18138,110671,Ghost Rider,2006, ,https://comicvine.gamespot.com/ghost-rider-12-apocalypse-soon/4000-110671/,31 days 00:00:00
7,Ghost Rider,2006,13,Issue,2007-09-01,Comicvine,18138,111669,Ghost Rider,2006, ,https://comicvine.gamespot.com/ghost-rider-13-apocalypse-soon/4000-111669/,31 days 00:00:00
8,World War Hulk: Front Line,2007,1,Issue,2007-08-01,Comicvine,18793,111078,World War Hulk: Front Line,2007, ,https://comicvine.gamespot.com/world-war-hulk-front-line-1-front-line/4000-111078/,31 days 00:00:00
9,World War Hulk: Gamma Corps,2007,1,Issue,2007-09-01,Comicvine,18903,111703,World War Hulk: Gamma Corps,2007, ,https://comicvine.gamespot.com/world-war-hulk-gamma-corps-1-hulkbusters/4000-111703/,30 days 00:00:00
10,World War Hulk: Gamma Corps,2007,2,Issue,2007-10-01,Comicvine,18903,113778,World War Hulk: Gamma Corps,2007, ,https://comicvine.gamespot.com/world-war-hulk-gamma-corps-2-origins/4000-113778/,31 days 00:00:00
11,World War Hulk: Gamma Corps,2007,3,Issue,2007-11-01,Comicvine,18903,114667,World War Hulk: Gamma Corps,2007, ,https://comicvine.gamespot.com/world-war-hulk-gamma-corps-3-love-and-war/4000-114667/,61 days 00:00:00
12,World War Hulk: Gamma Corps,2007,4,Issue,2008-01-01,Comicvine,18903,117844,World War Hulk: Gamma Corps,2007, ,https://comicvine.gamespot.com/world-war-hulk-gamma-corps-4-mission-accomplished/4000-117844/,122 days 00:00:00
13,Iron Man,2005,20,Issue,2007-09-01,Comicvine,18220,111936,Iron Man,2004, ,https://comicvine.gamespot.com/issue/4000-111936/,31 days 00:00:00
14,World War Hulk: X-Men,2007,1,Issue,2007-08-01,Comicvine,18786,111036,World War Hulk: X-Men,2007, ,https://comicvine.gamespot.com/world-war-hulk-x-men-1-hard-questions/4000-111036/,31 days 00:00:00
15,World War Hulk: X-Men,2007,2,Issue,2007-09-01,Comicvine,18786,111708,World War Hulk: X-Men,2007, ,https://comicvine.gamespot.com/world-war-hulk-x-men-2-sworn-to-protect/4000-111708/,30 days 00:00:00
16,World War Hulk: X-Men,2007,3,Issue,2007-10-01,Comicvine,18786,113957,World War Hulk: X-Men,2007, ,https://comicvine.gamespot.com/world-war-hulk-x-men-3-sworn-to-protect/4000-113957/,30 days 00:00:00
17,World War Hulk,2007,2,Issue,2007-09-01,Comicvine,18686,111670,World War Hulk,2007, ,https://comicvine.gamespot.com/world-war-hulk-2/4000-111670/,31 days 00:00:00
18,Incredible Hulk,2000,107,Issue,2007-08-01,Comicvine,6558,110665,Incredible Hulk,2000, ,https://comicvine.gamespot.com/incredible-hulk-107-warbound-part-2/4000-110665/,31 days 00:00:00
19,Incredible Hulk,2000,108,Issue,2007-09-01,Comicvine,6558,111938,Incredible Hulk,2000, ,https://comicvine.gamespot.com/incredible-hulk-108-warbound-part-3/4000-111938/,0 days 00:00:00
20,World War Hulk: Front Line,2007,2,Issue,2007-09-01,Comicvine,18793,111727,World War Hulk: Front Line,2007, ,https://comicvine.gamespot.com/world-war-hulk-front-line-2-embedded-behind-enemy-/4000-111727/,91 days 00:00:00
21,Punisher War Journal,2007,12,Issue,2007-12-01,Comicvine,18152,115853,Punisher War Journal,2007, ,https://comicvine.gamespot.com/punisher-war-journal-12-world-war-frank/4000-115853/,91 days 00:00:00
22,Avengers: The Initiative,2007,4,Issue,2007-09-01,Comicvine,18419,111663,Avengers: The Initiative,2007, ,https://comicvine.gamespot.com/avengers-the-initiative-4-green-zone/4000-111663/,30 days 00:00:00
23,Avengers: The Initiative,2007,5,Issue,2007-10-01,Comicvine,18419,113956,Avengers: The Initiative,2007, ,https://comicvine.gamespot.com/avengers-the-initiative-5-secret-weapons/4000-113956/,0 days 00:00:00
24,World War Hulk: Front Line,2007,3,Issue,2007-10-01,Comicvine,18793,112958,World War Hulk: Front Line,2007, ,https://comicvine.gamespot.com/world-war-hulk-front-line-3-embedded-behind-enemy-/4000-112958/,0 days 00:00:00
25,World War Hulk,2007,3,Issue,2007-10-01,Comicvine,18686,112280,World War Hulk,2007, ,https://comicvine.gamespot.com/world-war-hulk-3/4000-112280/,0 days 00:00:00
26,Incredible Hulk,2000,109,Issue,2007-10-01,Comicvine,6558,112986,Incredible Hulk,2000, ,https://comicvine.gamespot.com/incredible-hulk-109-warbound-part-4/4000-112986/,31 days 00:00:00
27,Incredible Hulk,2000,110,Issue,2007-11-01,Comicvine,6558,114203,Incredible Hulk,2000, ,https://comicvine.gamespot.com/incredible-hulk-110-warbound-part-5/4000-114203/,0 days 00:00:00
28,World War Hulk,2007,4,Issue,2007-11-01,Comicvine,18686,114624,World War Hulk,2007, ,https://comicvine.gamespot.com/world-war-hulk-4-let-the-worlds-within-and-the-wor/4000-114624/,0 days 00:00:00
29,World War Hulk: Front Line,2007,4,Issue,2007-11-01,Comicvine,18793,114625,World War Hulk: Front Line,2007, ,https://comicvine.gamespot.com/world-war-hulk-front-line-4-embedded-behind-enemy-/4000-114625/,30 days 00:00:00
30,World War Hulk: Front Line,2007,5,Issue,2007-12-01,Comicvine,18793,115396,World War Hulk: Front Line,2007, ,https://comicvine.gamespot.com/world-war-hulk-front-line-5-embedded-behind-enemy-/4000-115396/,31 days 00:00:00
31,World War Hulk,2007,5,Issue,2008-01-01,Comicvine,18686,117746,World War Hulk,2007, ,https://comicvine.gamespot.com/world-war-hulk-5-the-incredible-hulkthe-sentry/4000-117746/,31 days 00:00:00
32,Incredible Hulk,2000,111,Issue,2007-12-01,Comicvine,6558,118078,Incredible Hulk,2000, ,https://comicvine.gamespot.com/incredible-hulk-111-warbound-part-6/4000-118078/,0 days 00:00:00
33,World War Hulk: Front Line,2007,6,Issue,2007-12-01,Comicvine,18793,118696,World War Hulk: Front Line,2007, ,https://comicvine.gamespot.com/world-war-hulk-front-line-6/4000-118696/,30 days 00:00:00
34,What If? Planet Hulk,2007,1,Issue,2007-12-31,Comicvine,19301,115812,What If? Planet Hulk,2007, ,https://comicvine.gamespot.com/what-if-planet-hulk-1-what-if-the-hulk-died-and-ca/4000-115812/,31 days 00:00:00
35,World War Hulk: Aftersmash,2008,1,Issue,2008-01-31,Comicvine,19919,119219,World War Hulk: Aftersmash,2008, ,https://comicvine.gamespot.com/world-war-hulk-aftersmash-1-world-war-hulk-aftersm/4000-119219/,10 days 00:00:00
36,Incredible Hulk,2000,112,Issue,2008-01-21,Comicvine,6558,120238,Incredible Hulk,2000, ,https://comicvine.gamespot.com/incredible-hulk-112-the-incredible-herc-part-1-bir/4000-120238/,39 days 00:00:00
37,The Incredible Hercules,2008,113,Issue,2008-02-29,Comicvine,20588,123380,Incredible Hercules,2008, ,https://comicvine.gamespot.com/incredible-hercules-113-the-incredible-herc-part-2/4000-123380/,32 days 00:00:00
38,The Incredible Hercules,2008,115,Issue,2008-04-01,Comicvine,20588,125757,Incredible Hercules,2008, ,https://comicvine.gamespot.com/incredible-hercules-115-glory-of-hera/4000-125757/,31 days 00:00:00
39,Damage Control,2008,1,Issue,2008-03-01,Comicvine,20402,122005,World War Hulk Aftersmash: Damage Control,2008, ,https://comicvine.gamespot.com/issue/4000-122005/,31 days 00:00:00
40,Damage Control,2008,2,Issue,2008-04-01,Comicvine,20402,124233,World War Hulk Aftersmash: Damage Control,2008, ,https://comicvine.gamespot.com/issue/4000-124233/,30 days 00:00:00
41,Damage Control,2008,3,Issue,2008-05-01,Comicvine,20402,126245,World War Hulk Aftersmash: Damage Control,2008, ,https://comicvine.gamespot.com/issue/4000-126245/,90 days 00:00:00
42,World War Hulk Aftersmash: Warbound,2008,1,Issue,2008-02-01,Comicvine,20153,120239,World War Hulk Aftersmash: Warbound,2008, ,https://comicvine.gamespot.com/world-war-hulk-aftersmash-warbound-1/4000-120239/,59 days 00:00:00
43,World War Hulk Aftersmash: Warbound,2008,2,Issue,2008-03-31,Comicvine,20153,125754,World War Hulk Aftersmash: Warbound,2008, ,https://comicvine.gamespot.com/world-war-hulk-aftersmash-warbound-2-part-2-of-5/4000-125754/,30 days 00:00:00
44,World War Hulk Aftersmash: Warbound,2008,3,Issue,2008-04-30,Comicvine,20153,125758,World War Hulk Aftersmash: Warbound,2008, ,https://comicvine.gamespot.com/world-war-hulk-aftersmash-warbound-3-welcome-to-ga/4000-125758/,31 days 00:00:00
45,World War Hulk Aftersmash: Warbound,2008,4,Issue,2008-05-31,Comicvine,20153,125756,World War Hulk Aftersmash: Warbound,2008, ,https://comicvine.gamespot.com/world-war-hulk-aftersmash-warbound-4-part-4-of-5/4000-125756/,30 days 00:00:00
