,SeriesName,SeriesStartYear,IssueNum,IssueType,CoverDate,Name,SeriesID,IssueID,CV Series Name,CV Series Year,CV Cover Image,CV Issue URL,Days Between Issues
1,World War Hulks,2010,1,Issue,2010-06-30,Comicvine,32449,204631,World War Hulks,2010, ,https://comicvine.gamespot.com/world-war-hulks-1-game-face-nobody-dies-forever-ra/4000-204631/,0 days 00:00:00
2,Hulked-Out Heroes,2010,1,Issue,2010-06-30,Comicvine,32593,206853,Hulked-Out Heroes,2010, ,https://comicvine.gamespot.com/hulked-out-heroes-1/4000-206853/,0 days 00:00:00
3,Hulked-Out Heroes,2010,2,Issue,2010-06-30,Comicvine,32593,210889,Hulked-Out Heroes,2010, ,https://comicvine.gamespot.com/hulked-out-heroes-2-all-the-pretty-little-hulkpool/4000-210889/,21 days 00:00:00
4,Incredible Hulk,2009,609,Issue,2010-07-21,Comicvine,24715,213470,Incredible Hulk,2009, ,https://comicvine.gamespot.com/the-incredible-hulk-609-perfection-the-night-is-fo/4000-213470/,0 days 00:00:00
5,Hulk,2008,22,Issue,2010-07-21,Comicvine,20291,213441,Hulk,2008, ,https://comicvine.gamespot.com/hulk-22-dogs-of-war/4000-213441/,31 days 00:00:00
6,Incredible Hulk,2009,610,Issue,2010-08-21,Comicvine,24715,219571,Incredible Hulk,2009, ,https://comicvine.gamespot.com/the-incredible-hulk-610-unbound/4000-219571/,0 days 00:00:00
7,Hulk,2008,23,Issue,2010-08-21,Comicvine,20291,220729,Hulk,2008, ,https://comicvine.gamespot.com/hulk-23-who-is-the-red-hulk/4000-220729/,40 days 00:00:00
8,World War Hulks: Spider-Man & Thor,2010,1,Issue,2010-09-30,Comicvine,34435,224825,World War Hulks: Spider-Man vs. Thor,2010, ,https://comicvine.gamespot.com/issue/4000-224825/,0 days 00:00:00
9,World War Hulks: Wolverine & Captain America,2010,1,Issue,2010-09-30,Comicvine,34414,224633,World War Hulks: Captain America vs. Wolverine,2010, ,https://comicvine.gamespot.com/issue/4000-224633/,0 days 00:00:00
10,World War Hulks: Spider-Man & Thor,2010,2,Issue,2010-09-30,Comicvine,34435,227103,World War Hulks: Spider-Man vs. Thor,2010, ,https://comicvine.gamespot.com/issue/4000-227103/,0 days 00:00:00
11,World War Hulks: Wolverine & Captain America,2010,2,Issue,2010-09-30,Comicvine,34414,227127,World War Hulks: Captain America vs. Wolverine,2010, ,https://comicvine.gamespot.com/issue/4000-227127/,1 days 00:00:00
12,Incredible Hulk,2009,611,Issue,2010-10-01,Comicvine,24715,228986,Incredible Hulk,2009, ,https://comicvine.gamespot.com/the-incredible-hulk-611-sons-of-wrath-act-3-slave-/4000-228986/,20 days 00:00:00
13,Hulk,2008,24,Issue,2010-10-21,Comicvine,20291,230321,Hulk,2008, ,https://comicvine.gamespot.com/hulk-24-the-strongest-there-is/4000-230321/,0 days 00:00:00
