,SeriesName,SeriesStartYear,IssueNum,IssueType,CoverDate,Name,SeriesID,IssueID,CV Series Name,CV Series Year,CV Cover Image,CV Issue URL,Days Between Issues
1,X of Swords: Creation,2020,1,Issue,2020-11-01,Comicvine,130569,803652,X of Swords: Creation,2020, ,https://comicvine.gamespot.com/x-of-swords-creation-1-x-of-swords-chapter-1/4000-803652/,0 days 00:00:00
2,X-Factor,2020,4,Issue,2020-11-01,Comicvine,129097,805100,X-Factor,2020, ,https://comicvine.gamespot.com/x-factor-4-x-of-swords-chapter-2/4000-805100/,30 days 00:00:00
3,Wolverine,2020,6,Issue,2020-12-01,Comicvine,125121,807579,Wolverine,2020, ,https://comicvine.gamespot.com/wolverine-6-x-of-swords-chapter-3/4000-807579/,0 days 00:00:00
4,X-Force,2020,13,Issue,2020-12-01,Comicvine,122668,807580,X-Force,2019, ,https://comicvine.gamespot.com/issue/4000-807580/,0 days 00:00:00
5,Marauders,2019,13,Issue,2020-12-01,Comicvine,122218,807571,Marauders,2019, ,https://comicvine.gamespot.com/marauders-13-x-of-swords-chapter-5/4000-807571/,0 days 00:00:00
6,Hellions,2020,5,Issue,2020-12-01,Comicvine,126015,810727,Hellions,2020, ,https://comicvine.gamespot.com/hellions-5-x-of-swords-chapter-6/4000-810727/,0 days 00:00:00
7,New Mutants,2020,13,Issue,2020-12-01,Comicvine,122666,810730,New Mutants,2019, ,https://comicvine.gamespot.com/issue/4000-810730/,0 days 00:00:00
8,Cable,2020,5,Issue,2020-12-01,Comicvine,125678,810724,Cable,2020, ,https://comicvine.gamespot.com/cable-5-x-of-swords-chapter-8/4000-810724/,0 days 00:00:00
9,Excalibur,2019,13,Issue,2020-12-01,Comicvine,122488,813279,Excalibur,2019, ,https://comicvine.gamespot.com/excalibur-13-x-of-swords-chapter-9/4000-813279/,0 days 00:00:00
10,X-Men,2019,13,Issue,2020-12-01,Comicvine,122077,813291,X-Men,2019, ,https://comicvine.gamespot.com/x-men-13-x-of-swords-chapter-10/4000-813291/,0 days 00:00:00
11,X of Swords: Stasis,2020,1,Issue,2020-12-01,Comicvine,131525,814483,X of Swords: Stasis,2020, ,https://comicvine.gamespot.com/x-of-swords-stasis-1-x-of-swords-chapter-11/4000-814483/,31 days 00:00:00
12,X-Men,2019,14,Issue,2021-01-01,Comicvine,122077,816456,X-Men,2019, ,https://comicvine.gamespot.com/x-men-14-x-of-swords-chapter-12/4000-816456/,0 days 00:00:00
13,Marauders,2019,14,Issue,2021-01-01,Comicvine,122218,816455,Marauders,2019, ,https://comicvine.gamespot.com/marauders-14-x-of-swords-chapter-13/4000-816455/,0 days 00:00:00
14,Marauders,2019,15,Issue,2021-01-01,Comicvine,122218,817705,Marauders,2019, ,https://comicvine.gamespot.com/marauders-15-x-of-swords-chapter-14/4000-817705/,0 days 00:00:00
15,Excalibur,2019,14,Issue,2021-01-01,Comicvine,122488,817704,Excalibur,2019, ,https://comicvine.gamespot.com/excalibur-14-x-of-swords-chapter-15/4000-817704/,0 days 00:00:00
16,Wolverine,2020,7,Issue,2021-01-01,Comicvine,125121,817706,Wolverine,2020, ,https://comicvine.gamespot.com/wolverine-7-x-of-swords-chapter-16/4000-817706/,0 days 00:00:00
17,X-Force,2020,14,Issue,2021-01-01,Comicvine,122668,819097,X-Force,2019, ,https://comicvine.gamespot.com/issue/4000-819097/,0 days 00:00:00
18,Hellions,2020,6,Issue,2021-01-01,Comicvine,126015,819096,Hellions,2020, ,https://comicvine.gamespot.com/hellions-6-x-of-swords-chapter-18/4000-819096/,0 days 00:00:00
19,Cable,2020,6,Issue,2021-01-01,Comicvine,125678,819095,Cable,2020, ,https://comicvine.gamespot.com/cable-6-x-of-swords-chapter-19/4000-819095/,0 days 00:00:00
20,X-Men,2019,15,Issue,2021-01-01,Comicvine,122077,819479,X-Men,2019, ,https://comicvine.gamespot.com/x-men-15-x-of-swords-chapter-20/4000-819479/,0 days 00:00:00
21,Excalibur,2019,15,Issue,2021-01-01,Comicvine,122488,819478,Excalibur,2019, ,https://comicvine.gamespot.com/excalibur-15-x-of-swords-chapter-21/4000-819478/,0 days 00:00:00
22,X of Swords: Destruction,2020,1,Issue,2021-01-01,Comicvine,132228,819480,X of Swords: Destruction,2020, ,https://comicvine.gamespot.com/x-of-swords-destruction-1-x-of-swords-chapter-22/4000-819480/,0 days 00:00:00
