,SeriesName,SeriesStartYear,IssueNum,IssueType,CoverDate,Name,SeriesID,IssueID,CV Series Name,CV Series Year,CV Cover Image,CV Issue URL,Days Between Issues
1,Uncanny X-Men,1981,294,Issue,1992-11-01,Comicvine,3092,107063,The Uncanny X-Men,1981, ,https://comicvine.gamespot.com/the-uncanny-x-men-294-x-cutioners-song-part-one-th/4000-107063/,0 days 00:00:00
2,X-Factor,1986,84,Issue,1992-11-01,Comicvine,3657,107134,X-Factor,1986, ,https://comicvine.gamespot.com/x-factor-84-x-cutioners-song-part-two-tough-love/4000-107134/,0 days 00:00:00
3,X-Men,1991,14,Issue,1992-11-01,Comicvine,4605,106566,X-Men,1991, ,https://comicvine.gamespot.com/x-men-14-x-cutioners-song-part-3-fingers-on-the-tr/4000-106566/,0 days 00:00:00
4,X-Force,1991,16,Issue,1992-11-01,Comicvine,4604,107129,X-Force,1991, ,https://comicvine.gamespot.com/x-force-16-x-cutioners-song-part-4-jacklighting/4000-107129/,30 days 00:00:00
5,Uncanny X-Men,1981,295,Issue,1992-12-01,Comicvine,3092,107067,The Uncanny X-Men,1981, ,https://comicvine.gamespot.com/the-uncanny-x-men-295-x-cutioners-song-part-five-f/4000-107067/,0 days 00:00:00
6,X-Factor,1986,85,Issue,1992-12-01,Comicvine,3657,107135,X-Factor,1986, ,https://comicvine.gamespot.com/x-factor-85-x-cutioners-song-part-6-snikts-and-bon/4000-107135/,0 days 00:00:00
7,X-Men,1991,15,Issue,1992-12-01,Comicvine,4605,106567,X-Men,1991, ,https://comicvine.gamespot.com/x-men-15-x-cutioners-song-part-7-the-camels-back/4000-106567/,0 days 00:00:00
8,X-Force,1991,17,Issue,1992-12-01,Comicvine,4604,107130,X-Force,1991, ,https://comicvine.gamespot.com/x-force-17-x-cutioners-song-part-8-sleeping-with-t/4000-107130/,31 days 00:00:00
9,Uncanny X-Men,1981,296,Issue,1993-01-01,Comicvine,3092,107087,The Uncanny X-Men,1981, ,https://comicvine.gamespot.com/the-uncanny-x-men-296-x-cutioners-song-part-9-cres/4000-107087/,0 days 00:00:00
10,X-Factor,1986,86,Issue,1993-01-01,Comicvine,3657,107136,X-Factor,1986, ,https://comicvine.gamespot.com/x-factor-86-x-cutioners-song-part-10-one-of-these-/4000-107136/,0 days 00:00:00
11,X-Men,1991,16,Issue,1993-01-01,Comicvine,4605,106568,X-Men,1991, ,https://comicvine.gamespot.com/x-men-16-x-cutioners-song-part-11-conflicting-cath/4000-106568/,0 days 00:00:00
12,X-Force,1991,18,Issue,1993-01-01,Comicvine,4604,107133,X-Force,1991, ,https://comicvine.gamespot.com/x-force-18-x-cutioners-song-part-12-ghosts-in-the-/4000-107133/,31 days 00:00:00
13,Uncanny X-Men,1981,297,Issue,1993-02-01,Comicvine,3092,107105,The Uncanny X-Men,1981, ,https://comicvine.gamespot.com/the-uncanny-x-men-297-x-cutioners-song-epilogue-so/4000-107105/,0 days 00:00:00
