,SeriesName,SeriesStartYear,IssueNum,IssueType,CoverDate,Name,SeriesID,IssueID,CV Series Name,CV Series Year,CV Cover Image,CV Issue URL,Days Between Issues
1,Uncanny X-Men,1981,495,Issue,2008-04-01,Comicvine,3092,122405,The Uncanny X-Men,1981, ,https://comicvine.gamespot.com/the-uncanny-x-men-495-x-men-divided-part-one/4000-122405/,30 days 00:00:00
2,Uncanny X-Men,1981,496,Issue,2008-05-01,Comicvine,3092,124676,The Uncanny X-Men,1981, ,https://comicvine.gamespot.com/the-uncanny-x-men-496-x-men-divided-part-two/4000-124676/,31 days 00:00:00
3,Uncanny X-Men,1981,497,Issue,2008-06-01,Comicvine,3092,128189,The Uncanny X-Men,1981, ,https://comicvine.gamespot.com/the-uncanny-x-men-497-x-men-divided-part-three/4000-128189/,30 days 00:00:00
4,Uncanny X-Men,1981,498,Issue,2008-07-01,Comicvine,3092,130971,The Uncanny X-Men,1981, ,https://comicvine.gamespot.com/the-uncanny-x-men-498-x-men-divided-part-four/4000-130971/,31 days 00:00:00
5,Uncanny X-Men,1981,499,Issue,2008-08-01,Comicvine,3092,131797,The Uncanny X-Men,1981, ,https://comicvine.gamespot.com/the-uncanny-x-men-499-divided-we-stand-x-men-divid/4000-131797/,122 days 00:00:00
6,X-Men: Legacy,2008,208,Issue,2008-04-01,Comicvine,20691,124060,X-Men: Legacy,2008, ,https://comicvine.gamespot.com/x-men-legacy-208-from-genesis-to-revelations-part-/4000-124060/,30 days 00:00:00
7,X-Men: Legacy,2008,209,Issue,2008-05-01,Comicvine,20691,125971,X-Men: Legacy,2008, ,https://comicvine.gamespot.com/x-men-legacy-209-from-genesis-to-revelations-part-/4000-125971/,31 days 00:00:00
8,X-Men: Legacy,2008,210,Issue,2008-06-01,Comicvine,20691,128965,X-Men: Legacy,2008, ,https://comicvine.gamespot.com/x-men-legacy-210-from-genesis-to-revelations-part-/4000-128965/,30 days 00:00:00
9,X-Men: Legacy,2008,211,Issue,2008-07-01,Comicvine,20691,130246,X-Men: Legacy,2008, ,https://comicvine.gamespot.com/x-men-legacy-211-sins-of-the-father-part-1/4000-130246/,0 days 00:00:00
10,X-Men: Legacy,2008,212,Issue,2008-07-01,Comicvine,20691,130972,X-Men: Legacy,2008, ,https://comicvine.gamespot.com/x-men-legacy-212-sins-of-the-father-part-2/4000-130972/,31 days 00:00:00
11,X-Men: Legacy,2008,213,Issue,2008-08-01,Comicvine,20691,131844,X-Men: Legacy,2008, ,https://comicvine.gamespot.com/x-men-legacy-213-sins-of-the-father-part-3/4000-131844/,31 days 00:00:00
12,X-Men: Legacy,2008,214,Issue,2008-09-01,Comicvine,20691,134100,X-Men: Legacy,2008, ,https://comicvine.gamespot.com/x-men-legacy-214-sins-of-the-father-part-4/4000-134100/,153 days 00:00:00
13,X-Factor,2006,28,Issue,2008-04-01,Comicvine,18109,122815,X-Factor,2006, ,https://comicvine.gamespot.com/x-factor-28-aftermath/4000-122815/,30 days 00:00:00
14,X-Factor,2006,29,Issue,2008-05-01,Comicvine,18109,125186,X-Factor,2006, ,https://comicvine.gamespot.com/x-factor-29-the-only-game-in-town-part-1/4000-125186/,31 days 00:00:00
15,X-Factor,2006,30,Issue,2008-06-01,Comicvine,18109,127498,X-Factor,2006, ,https://comicvine.gamespot.com/x-factor-30-the-only-game-in-town-part-2/4000-127498/,30 days 00:00:00
16,X-Factor,2006,31,Issue,2008-07-01,Comicvine,18109,130657,X-Factor,2006, ,https://comicvine.gamespot.com/x-factor-31-the-only-game-in-town-part-4-the-middl/4000-130657/,31 days 00:00:00
17,X-Factor,2006,32,Issue,2008-08-01,Comicvine,18109,131538,X-Factor,2006, ,https://comicvine.gamespot.com/x-factor-32-x-it-strategy/4000-131538/,122 days 00:00:00
18,X-Force,2008,1,Issue,2008-04-01,Comicvine,20511,122783,X-Force,2008, ,https://comicvine.gamespot.com/x-force-1-angels-demons-part-1-of-6/4000-122783/,30 days 00:00:00
19,X-Force,2008,2,Issue,2008-05-01,Comicvine,20511,124685,X-Force,2008, ,https://comicvine.gamespot.com/x-force-2-angels-demons-part-2-of-6/4000-124685/,31 days 00:00:00
