,SeriesName,SeriesStartYear,IssueNum,IssueType,CoverDate,Name,SeriesID,IssueID,CV Series Name,CV Series Year,CV Cover Image,CV Issue URL,Days Between Issues
1,X-Men: Endangered Species,2007,1,Issue,2007-08-31,Comicvine,18726,110657,X-Men Endangered Species,2007, ,https://comicvine.gamespot.com/x-men-endangered-species-1-x-men-endangered-specie/4000-110657/,30 days 00:00:00
2,X-Men,2004,200,Issue,2007-08-01,Comicvine,10731,111032,X-Men,2004, ,https://comicvine.gamespot.com/x-men-200-blinded-by-the-light-part-1-of-4-endange/4000-111032/,31 days 00:00:00
3,Uncanny X-Men,1981,488,Issue,2007-09-01,Comicvine,3092,111241,The Uncanny X-Men,1981, ,https://comicvine.gamespot.com/the-uncanny-x-men-488-the-extremists-part-2-endang/4000-111241/,0 days 00:00:00
4,X-Factor,2006,21,Issue,2007-09-01,Comicvine,18109,111490,X-Factor,2006, ,https://comicvine.gamespot.com/x-factor-21-the-isolationist-part-1-endangered-spe/4000-111490/,0 days 00:00:00
5,New X-Men,2004,40,Issue,2007-09-01,Comicvine,18078,109760,New X-Men,2004, ,https://comicvine.gamespot.com/new-x-men-40-quest-for-magik-part-3-of-4-endangere/4000-109760/,0 days 00:00:00
6,X-Men,2004,201,Issue,2007-09-01,Comicvine,10731,111931,X-Men,2004, ,https://comicvine.gamespot.com/x-men-201-blinded-by-the-light-part-2-of-4-endange/4000-111931/,30 days 00:00:00
7,Uncanny X-Men,1981,489,Issue,2007-10-01,Comicvine,3092,111383,The Uncanny X-Men,1981, ,https://comicvine.gamespot.com/the-uncanny-x-men-489-the-extremists-part-3-endang/4000-111383/,0 days 00:00:00
8,X-Factor,2006,22,Issue,2007-10-01,Comicvine,18109,112962,X-Factor,2006, ,https://comicvine.gamespot.com/x-factor-22-the-isolationist-part-2-natural-order-/4000-112962/,0 days 00:00:00
9,New X-Men,2004,41,Issue,2007-10-01,Comicvine,18078,109761,New X-Men,2004, ,https://comicvine.gamespot.com/new-x-men-41-quest-for-magik-conclusion-endangered/4000-109761/,0 days 00:00:00
10,X-Men,2004,202,Issue,2007-10-01,Comicvine,10731,113738,X-Men,2004, ,https://comicvine.gamespot.com/x-men-202-blinded-by-the-light-part-3-of-4-endange/4000-113738/,31 days 00:00:00
11,Uncanny X-Men,1981,490,Issue,2007-11-01,Comicvine,3092,114204,The Uncanny X-Men,1981, ,https://comicvine.gamespot.com/the-uncanny-x-men-490-the-extremists-part-4-endang/4000-114204/,0 days 00:00:00
12,X-Factor,2006,23,Issue,2007-11-01,Comicvine,18109,114395,X-Factor,2006, ,https://comicvine.gamespot.com/x-factor-23-the-isolationist-part-3-true-or-false-/4000-114395/,0 days 00:00:00
13,New X-Men,2004,42,Issue,2007-11-01,Comicvine,18078,114617,New X-Men,2004, ,https://comicvine.gamespot.com/new-x-men-42-children-of-x-men-part-1-of-2-endange/4000-114617/,0 days 00:00:00
14,X-Men,2004,203,Issue,2007-11-01,Comicvine,10731,114946,X-Men,2004, ,https://comicvine.gamespot.com/x-men-203-blinded-by-the-light-part-4-of-4-endange/4000-114946/,30 days 00:00:00
15,Uncanny X-Men,1981,491,Issue,2007-12-01,Comicvine,3092,115143,The Uncanny X-Men,1981, ,https://comicvine.gamespot.com/the-uncanny-x-men-491-the-extremists-part-5-endang/4000-115143/,0 days 00:00:00
16,X-Factor,2006,24,Issue,2007-12-01,Comicvine,18109,115410,X-Factor,2006, ,https://comicvine.gamespot.com/x-factor-24-the-isolationist-conclusion-endangered/4000-115410/,0 days 00:00:00
17,X-Men,2004,204,Issue,2007-12-01,Comicvine,10731,115779,X-Men,2004, ,https://comicvine.gamespot.com/x-men-204-blinded-by-the-light-epilogue-endangered/4000-115779/,0 days 00:00:00
