,SeriesName,SeriesStartYear,IssueNum,IssueType,CoverDate,Name,SeriesID,IssueID,CV Series Name,CV Series Year,CV Cover Image,CV Issue URL,Days Between Issues
1,Astonishing X-Men,2003,25,Issue,2008-09-01,Comicvine,10746,131985,Astonishing X-Men,2004, ,https://comicvine.gamespot.com/issue/4000-131985/,30 days 00:00:00
2,Astonishing X-Men,2003,26,Issue,2008-10-01,Comicvine,10746,135433,Astonishing X-Men,2004, ,https://comicvine.gamespot.com/issue/4000-135433/,31 days 00:00:00
3,Astonishing X-Men,2003,27,Issue,2008-11-01,Comicvine,10746,140444,Astonishing X-Men,2004, ,https://comicvine.gamespot.com/issue/4000-140444/,120 days 00:00:00
4,Astonishing X-Men,2003,28,Issue,2009-03-01,Comicvine,10746,150497,Astonishing X-Men,2004, ,https://comicvine.gamespot.com/issue/4000-150497/,92 days 00:00:00
5,Astonishing X-Men,2003,29,Issue,2009-06-01,Comicvine,10746,155841,Astonishing X-Men,2004, ,https://comicvine.gamespot.com/issue/4000-155841/,61 days 00:00:00
6,Astonishing X-Men,2003,30,Issue,2009-08-01,Comicvine,10746,161755,Astonishing X-Men,2004, ,https://comicvine.gamespot.com/issue/4000-161755/,334 days 00:00:00
7,Uncanny X-Men,1981,500,Issue,2008-09-01,Comicvine,3092,134012,The Uncanny X-Men,1981, ,https://comicvine.gamespot.com/the-uncanny-x-men-500-sfx-part-1/4000-134012/,30 days 00:00:00
8,Uncanny X-Men,1981,501,Issue,2008-10-01,Comicvine,3092,136044,The Uncanny X-Men,1981, ,https://comicvine.gamespot.com/the-uncanny-x-men-501-sfx2-all-tomorrows-parties/4000-136044/,31 days 00:00:00
9,Uncanny X-Men,1981,502,Issue,2008-11-01,Comicvine,3092,139026,The Uncanny X-Men,1981, ,https://comicvine.gamespot.com/the-uncanny-x-men-502-sfx3-beginning-to-see-the-li/4000-139026/,60 days 00:00:00
10,Uncanny X-Men,1981,503,Issue,2008-12-31,Comicvine,3092,140442,The Uncanny X-Men,1981, ,https://comicvine.gamespot.com/the-uncanny-x-men-503/4000-140442/,61 days 00:00:00
11,Cable,2008,6,Issue,2008-10-31,Comicvine,20805,135076,Cable,2008, ,https://comicvine.gamespot.com/cable-6-homefront/4000-135076/,30 days 00:00:00
12,X-Men: Legacy,2008,215,Issue,2008-10-01,Comicvine,20691,136584,X-Men: Legacy,2008, ,https://comicvine.gamespot.com/x-men-legacy-215-walkthrough-part-1/4000-136584/,31 days 00:00:00
13,X-Men: Legacy,2008,216,Issue,2008-11-01,Comicvine,20691,139392,X-Men: Legacy,2008, ,https://comicvine.gamespot.com/x-men-legacy-216-walkthrough-part-2/4000-139392/,29 days 00:00:00
14,X-Men: Manifest Destiny,2008,1,Issue,2008-11-30,Comicvine,22867,137352,X-Men: Manifest Destiny,2008, ,https://comicvine.gamespot.com/x-men-manifest-destiny-1-manifest-destiny/4000-137352/,29 days 00:00:00
15,Young X-Men,2008,6,Issue,2008-11-01,Comicvine,21082,139001,Young X-Men,2008, ,https://comicvine.gamespot.com/young-x-men-6-san-francisco/4000-139001/,30 days 00:00:00
16,Young X-Men,2008,7,Issue,2008-12-01,Comicvine,21082,140445,Young X-Men,2008, ,https://comicvine.gamespot.com/young-x-men-7-the-other/4000-140445/,31 days 00:00:00
17,Young X-Men,2008,8,Issue,2009-01-01,Comicvine,21082,142546,Young X-Men,2008, ,https://comicvine.gamespot.com/young-x-men-8-the-y-men-part-1-outnumbered/4000-142546/,31 days 00:00:00
18,Young X-Men,2008,9,Issue,2009-02-01,Comicvine,21082,149466,Young X-Men,2008, ,https://comicvine.gamespot.com/young-x-men-9-the-y-men-conclusion-ascendant/4000-149466/,32 days 00:00:00
19,X-Men: Manifest Destiny,2008,2,Issue,2008-12-31,Comicvine,22867,140124,X-Men: Manifest Destiny,2008, ,https://comicvine.gamespot.com/x-men-manifest-destiny-2-manifest-destiny-part-2/4000-140124/,0 days 00:00:00
20,Wolverine: Manifest Destiny,2008,1,Issue,2008-12-31,Comicvine,23486,140846,Wolverine: Manifest Destiny,2008, ,https://comicvine.gamespot.com/wolverine-manifest-destiny-1-part-one-enter-the-wo/4000-140846/,31 days 00:00:00
21,Wolverine: Manifest Destiny,2008,2,Issue,2009-01-31,Comicvine,23486,144424,Wolverine: Manifest Destiny,2008, ,https://comicvine.gamespot.com/wolverine-manifest-destiny-2-part-two-black-dragon/4000-144424/,28 days 00:00:00
22,Wolverine: Manifest Destiny,2008,3,Issue,2009-02-28,Comicvine,23486,149288,Wolverine: Manifest Destiny,2008, ,https://comicvine.gamespot.com/wolverine-manifest-destiny-3-part-three-once-upon-/4000-149288/,31 days 00:00:00
23,Wolverine: Manifest Destiny,2008,4,Issue,2009-03-31,Comicvine,23486,151796,Wolverine: Manifest Destiny,2008, ,https://comicvine.gamespot.com/wolverine-manifest-destiny-4-part-four-the-way-of-/4000-151796/,59 days 00:00:00
24,X-Men: Manifest Destiny,2008,3,Issue,2009-01-31,Comicvine,22867,141529,X-Men: Manifest Destiny,2008, ,https://comicvine.gamespot.com/x-men-manifest-destiny-3-kill-or-cure-part-3-abomi/4000-141529/,28 days 00:00:00
25,X-Men: Manifest Destiny,2008,4,Issue,2009-02-28,Comicvine,22867,144348,X-Men: Manifest Destiny,2008, ,https://comicvine.gamespot.com/x-men-manifest-destiny-4-kill-or-cure-part-4-mercu/4000-144348/,31 days 00:00:00
26,X-Men: Manifest Destiny,2008,5,Issue,2009-03-31,Comicvine,22867,150496,X-Men: Manifest Destiny,2008, ,https://comicvine.gamespot.com/x-men-manifest-destiny-5-kill-or-cure-part-5-nicks/4000-150496/,30 days 00:00:00
27,Eternals,2008,7,Issue,2009-03-01,Comicvine,21937,149805,Eternals,2008, ,https://comicvine.gamespot.com/eternals-7-manifest-destiny-part-one/4000-149805/,31 days 00:00:00
28,Eternals,2008,8,Issue,2009-04-01,Comicvine,21937,151871,Eternals,2008, ,https://comicvine.gamespot.com/eternals-8-manifest-destiny-part-two/4000-151871/,30 days 00:00:00
