,SeriesName,SeriesStartYear,IssueNum,IssueType,CoverDate,Name,SeriesID,IssueID,CV Series Name,CV Series Year,CV Cover Image,CV Issue URL,Days Between Issues
1,X-Men: Messiah Complex,2007,1,Issue,2007-12-01,Comicvine,19419,116360,X-Men: Messiah Complex,2007, ,https://comicvine.gamespot.com/x-men-messiah-complex-1-messiah-complex-chapter-on/4000-116360/,31 days 00:00:00
2,Uncanny X-Men,1981,492,Issue,2008-01-01,Comicvine,3092,116949,The Uncanny X-Men,1981, ,https://comicvine.gamespot.com/the-uncanny-x-men-492-messiah-complex-chapter-two/4000-116949/,0 days 00:00:00
3,X-Factor,2006,25,Issue,2008-01-01,Comicvine,18109,117825,X-Factor,2006, ,https://comicvine.gamespot.com/x-factor-25-messiah-complex-chapter-three/4000-117825/,0 days 00:00:00
4,New X-Men,2004,44,Issue,2008-01-01,Comicvine,18078,118081,New X-Men,2004, ,https://comicvine.gamespot.com/new-x-men-44-messiah-complex-chapter-four/4000-118081/,0 days 00:00:00
5,X-Men,2004,205,Issue,2008-01-01,Comicvine,10731,118499,X-Men,2004, ,https://comicvine.gamespot.com/x-men-205-messiah-complex-chapter-five/4000-118499/,31 days 00:00:00
6,Uncanny X-Men,1981,493,Issue,2008-02-01,Comicvine,3092,119231,The Uncanny X-Men,1981, ,https://comicvine.gamespot.com/the-uncanny-x-men-493-messiah-complex-chapter-six/4000-119231/,0 days 00:00:00
7,X-Factor,2006,26,Issue,2008-02-01,Comicvine,18109,119874,X-Factor,2006, ,https://comicvine.gamespot.com/x-factor-26-messiah-complex-chapter-seven/4000-119874/,0 days 00:00:00
8,New X-Men,2004,45,Issue,2008-02-01,Comicvine,18078,120242,New X-Men,2004, ,https://comicvine.gamespot.com/new-x-men-45-messiah-complex-chapter-eight/4000-120242/,0 days 00:00:00
9,X-Men,2004,206,Issue,2008-02-01,Comicvine,10731,120558,X-Men,2004, ,https://comicvine.gamespot.com/x-men-206-messiah-complex-part-nine/4000-120558/,29 days 00:00:00
10,Uncanny X-Men,1981,494,Issue,2008-03-01,Comicvine,3092,120868,The Uncanny X-Men,1981, ,https://comicvine.gamespot.com/the-uncanny-x-men-494-messiah-complex-chapter-ten/4000-120868/,0 days 00:00:00
11,X-Factor,2006,27,Issue,2008-03-01,Comicvine,18109,121100,X-Factor,2006, ,https://comicvine.gamespot.com/x-factor-27-messiah-complex-chapter-eleven/4000-121100/,0 days 00:00:00
12,New X-Men,2004,46,Issue,2008-03-01,Comicvine,18078,121611,New X-Men,2004, ,https://comicvine.gamespot.com/new-x-men-46-messiah-complex-part-twelve/4000-121611/,0 days 00:00:00
13,X-Men,2004,207,Issue,2008-03-01,Comicvine,10731,121878,X-Men,2004, ,https://comicvine.gamespot.com/x-men-207-messiah-complex-chapter-thirteen/4000-121878/,0 days 00:00:00
