,SeriesName,SeriesStartYear,IssueNum,IssueType,CoverDate,Name,SeriesID,IssueID,CV Series Name,CV Series Year,CV Cover Image,CV Issue URL,Days Between Issues
1,Deadpool,2008,15,Issue,2009-11-30,Comicvine,22955,169211,Deadpool,2008, ,https://comicvine.gamespot.com/deadpool-15-want-you-to-want-me-part-1-the-complet/4000-169211/,29 days 00:00:00
2,X-Men: Legacy Annual,2009,1,Issue,2009-11-01,Comicvine,27952,171387,X-Men: Legacy Annual,2009, ,https://comicvine.gamespot.com/x-men-legacy-annual-1-devil-at-the-crossroads-part/4000-171387/,0 days 00:00:00
3,Uncanny X-Men,1981,515,Issue,2009-11-01,Comicvine,3092,172382,The Uncanny X-Men,1981, ,https://comicvine.gamespot.com/the-uncanny-x-men-515-nation-x-chapter-1/4000-172382/,60 days 00:00:00
4,Deadpool,2008,16,Issue,2009-12-31,Comicvine,22955,175163,Deadpool,2008, ,https://comicvine.gamespot.com/deadpool-16-want-you-to-want-me-part-2-no-man-is-a/4000-175163/,30 days 00:00:00
5,Uncanny X-Men,1981,516,Issue,2009-12-01,Comicvine,3092,175925,The Uncanny X-Men,1981, ,https://comicvine.gamespot.com/the-uncanny-x-men-516-nation-x-chapter-2/4000-175925/,0 days 00:00:00
6,X-Men: Legacy,2008,228,Issue,2009-12-01,Comicvine,20691,176851,X-Men: Legacy,2008, ,https://comicvine.gamespot.com/x-men-legacy-228-devil-at-the-crossroads-part-2/4000-176851/,89 days 00:00:00
7,Deadpool,2008,17,Issue,2010-02-28,Comicvine,22955,182578,Deadpool,2008, ,https://comicvine.gamespot.com/deadpool-17-want-you-to-want-me-part-3-the-revolut/4000-182578/,58 days 00:00:00
8,X-Men: Legacy,2008,229,Issue,2010-01-01,Comicvine,20691,183795,X-Men: Legacy,2008, ,https://comicvine.gamespot.com/x-men-legacy-229-devil-at-the-crossroads-part-3/4000-183795/,0 days 00:00:00
9,Uncanny X-Men,1981,517,Issue,2010-01-01,Comicvine,3092,184818,The Uncanny X-Men,1981, ,https://comicvine.gamespot.com/the-uncanny-x-men-517-nation-x-chapter-3/4000-184818/,31 days 00:00:00
10,Uncanny X-Men,1981,518,Issue,2010-02-01,Comicvine,3092,185623,The Uncanny X-Men,1981, ,https://comicvine.gamespot.com/the-uncanny-x-men-518-nation-x-chapter-4/4000-185623/,1 days 00:00:00
11,Nation X,2010,1,Issue,2010-01-31,Comicvine,30313,186675,Nation X,2010, ,https://comicvine.gamespot.com/nation-x-1-the-ghost-of-asteroid-m-road-trip-cold-/4000-186675/,28 days 00:00:00
12,Deadpool,2008,18,Issue,2010-02-28,Comicvine,22955,186800,Deadpool,2008, ,https://comicvine.gamespot.com/deadpool-18-want-you-to-want-me-part-4-you-have-th/4000-186800/,27 days 00:00:00
13,X-Men: Legacy,2008,230,Issue,2010-02-01,Comicvine,20691,187695,X-Men: Legacy,2008, ,https://comicvine.gamespot.com/x-men-legacy-230-devil-at-the-crossroads-part-4-a-/4000-187695/,0 days 00:00:00
14,Uncanny X-Men,1981,519,Issue,2010-02-01,Comicvine,3092,189510,The Uncanny X-Men,1981, ,https://comicvine.gamespot.com/the-uncanny-x-men-519-nation-x-chapter-5/4000-189510/,28 days 00:00:00
15,Nation X: X-Factor,2010,1,Issue,2010-03-01,Comicvine,30918,191271,Nation X: X-Factor,2010, ,https://comicvine.gamespot.com/nation-x-x-factor-1-nation-x/4000-191271/,0 days 00:00:00
16,Nation X,2010,2,Issue,2010-03-01,Comicvine,30313,192469,Nation X,2010, ,https://comicvine.gamespot.com/nation-x-2-when-you-were-here-7-12-lor-cajun-justi/4000-192469/,0 days 00:00:00
17,Uncanny X-Men,1981,520,Issue,2010-03-01,Comicvine,3092,193358,The Uncanny X-Men,1981, ,https://comicvine.gamespot.com/the-uncanny-x-men-520-nation-x-chapter-6/4000-193358/,31 days 00:00:00
18,Uncanny X-Men,1981,521,Issue,2010-04-01,Comicvine,3092,197867,The Uncanny X-Men,1981, ,https://comicvine.gamespot.com/the-uncanny-x-men-521-nation-x-chapter-7/4000-197867/,0 days 00:00:00
19,Nation X,2010,3,Issue,2010-04-01,Comicvine,30313,198376,Nation X,2010, ,https://comicvine.gamespot.com/nation-x-3-unresolved-issues-big-boy-pants-boxes-c/4000-198376/,30 days 00:00:00
20,Nation X,2010,4,Issue,2010-05-01,Comicvine,30313,201000,Nation X,2010, ,https://comicvine.gamespot.com/nation-x-4-dooptopia-the-bad-seeds-ice-cream-alamo/4000-201000/,0 days 00:00:00
21,Uncanny X-Men,1981,522,Issue,2010-05-01,Comicvine,3092,201708,The Uncanny X-Men,1981, ,https://comicvine.gamespot.com/the-uncanny-x-men-522-ghostly-the-end-of-the-world/4000-201708/,181 days 00:00:00
22,New Mutants,2009,5,Issue,2009-11-01,Comicvine,26327,174485,New Mutants,2009, ,https://comicvine.gamespot.com/new-mutants-5-debrief/4000-174485/,0 days 00:00:00
