,SeriesName,SeriesStartYear,IssueNum,IssueType,CoverDate,Name,SeriesID,IssueID,CV Series Name,CV Series Year,CV Cover Image,CV Issue URL,Days Between Issues
1,X-Men: Regenesis,2011,1,Issue,2011-12-01,Comicvine,43223,294888,X-Men: Regenesis,2011, ,https://comicvine.gamespot.com/x-men-regenesis-1/4000-294888/,0 days 00:00:00
2,Generation Hope,2011,12,Issue,2011-12-01,Comicvine,36469,295072,Generation Hope,2011, ,https://comicvine.gamespot.com/generation-hope-12-half-as-bright/4000-295072/,0 days 00:00:00
3,Wolverine,2010,17,Issue,2011-12-01,Comicvine,35263,297215,Wolverine,2010, ,https://comicvine.gamespot.com/wolverine-17-goodbye-chinatown-part-one/4000-297215/,31 days 00:00:00
4,Wolverine,2010,18,Issue,2012-01-01,Comicvine,35263,301655,Wolverine,2010, ,https://comicvine.gamespot.com/wolverine-18-goodbye-chinatown-part-two/4000-301655/,0 days 00:00:00
5,Wolverine,2010,19,Issue,2012-01-01,Comicvine,35263,304470,Wolverine,2010, ,https://comicvine.gamespot.com/wolverine-19-goodbye-chinatown-part-three/4000-304470/,31 days 00:00:00
6,X-Men: Legacy,2008,260,Issue,2012-02-01,Comicvine,20691,308418,X-Men: Legacy,2008, ,https://comicvine.gamespot.com/x-men-legacy-260-half-a-step-pt-2/4000-308418/,62 days 00:00:00
7,Uncanny X-Men,1981,544,Issue,2011-12-01,Comicvine,3092,297216,The Uncanny X-Men,1981, ,https://comicvine.gamespot.com/the-uncanny-x-men-544-uncanny/4000-297216/,31 days 00:00:00
8,Avengers Academy,2010,22,Issue,2012-01-01,Comicvine,33633,302682,Avengers Academy,2010, ,https://comicvine.gamespot.com/avengers-academy-22-disappointments/4000-302682/,0 days 00:00:00
9,Magneto: Not a Hero,2012,1,Issue,2012-01-01,Comicvine,43891,301653,Magneto: Not A Hero,2012, ,https://comicvine.gamespot.com/magneto-not-a-hero-1-chapter-one/4000-301653/,31 days 00:00:00
10,Magneto: Not a Hero,2012,2,Issue,2012-02-01,Comicvine,43891,306476,Magneto: Not A Hero,2012, ,https://comicvine.gamespot.com/magneto-not-a-hero-2-chapter-two/4000-306476/,29 days 00:00:00
11,Magneto: Not a Hero,2012,3,Issue,2012-03-01,Comicvine,43891,310806,Magneto: Not A Hero,2012, ,https://comicvine.gamespot.com/magneto-not-a-hero-3-chapter-three/4000-310806/,31 days 00:00:00
12,Magneto: Not a Hero,2012,4,Issue,2012-04-01,Comicvine,43891,316681,Magneto: Not A Hero,2012, ,https://comicvine.gamespot.com/magneto-not-a-hero-4-conclusion/4000-316681/,91 days 00:00:00
13,X-23,2010,17,Issue,2012-01-01,Comicvine,35496,302673,X-23,2010, ,https://comicvine.gamespot.com/x-23-17-misadventures-in-babysitting-part-1/4000-302673/,31 days 00:00:00
14,X-23,2010,18,Issue,2012-02-01,Comicvine,35496,305778,X-23,2010, ,https://comicvine.gamespot.com/x-23-18-misadventures-in-babysitting-part-2/4000-305778/,0 days 00:00:00
15,X-23,2010,19,Issue,2012-02-01,Comicvine,35496,307727,X-23,2010, ,https://comicvine.gamespot.com/x-23-19-misadventures-in-babysitting-part-3/4000-307727/,62 days 00:00:00
16,Wolverine and The X-Men,2011,1,Issue,2011-12-01,Comicvine,43539,299471,Wolverine & the X-Men,2011, ,https://comicvine.gamespot.com/wolverine-and-the-x-men-1-welcome-to-the-x-men-now/4000-299471/,31 days 00:00:00
17,Wolverine and The X-Men,2011,2,Issue,2012-01-01,Comicvine,43539,303379,Wolverine & the X-Men,2011, ,https://comicvine.gamespot.com/wolverine-and-the-x-men-2/4000-303379/,31 days 00:00:00
18,Wolverine and The X-Men,2011,3,Issue,2012-02-01,Comicvine,43539,307452,Wolverine & the X-Men,2011, ,https://comicvine.gamespot.com/wolverine-and-the-x-men-3/4000-307452/,31 days 00:00:00
19,New Mutants,2009,33,Issue,2012-01-01,Comicvine,26327,301071,New Mutants,2009, ,https://comicvine.gamespot.com/new-mutants-33/4000-301071/,0 days 00:00:00
20,New Mutants,2009,34,Issue,2012-01-01,Comicvine,26327,302664,New Mutants,2009, ,https://comicvine.gamespot.com/new-mutants-34-blink-and-you-miss-her/4000-302664/,31 days 00:00:00
21,New Mutants,2009,35,Issue,2012-02-01,Comicvine,26327,307478,New Mutants,2009, ,https://comicvine.gamespot.com/new-mutants-35-sole-survivor/4000-307478/,29 days 00:00:00
