,SeriesName,SeriesStartYear,IssueNum,IssueType,CoverDate,Name,SeriesID,IssueID,CV Series Name,CV Series Year,CV Cover Image,CV Issue URL,Days Between Issues
1,X-Men: Prelude to Schism,2011,1,Issue,2011-07-04,Comicvine,39952,269469,X-Men: Prelude to Schism,2011, ,https://comicvine.gamespot.com/x-men-prelude-to-schism-1-part-one/4000-269469/,3 days 00:00:00
2,X-Men: Prelude to Schism,2011,2,Issue,2011-07-01,Comicvine,39952,270432,X-Men: Prelude to Schism,2011, ,https://comicvine.gamespot.com/x-men-prelude-to-schism-2-part-2/4000-270432/,44 days 00:00:00
3,X-Men: Prelude to Schism,2011,3,Issue,2011-08-14,Comicvine,39952,274226,X-Men: Prelude to Schism,2011, ,https://comicvine.gamespot.com/x-men-prelude-to-schism-3-part-3/4000-274226/,15 days 00:00:00
4,X-Men: Prelude to Schism,2011,4,Issue,2011-08-29,Comicvine,39952,276447,X-Men: Prelude to Schism,2011, ,https://comicvine.gamespot.com/x-men-prelude-to-schism-4-part-4/4000-276447/,3 days 00:00:00
5,X-Men: Schism,2011,1,Issue,2011-09-01,Comicvine,41281,278744,X-Men: Schism,2011, ,https://comicvine.gamespot.com/x-men-schism-1-schism-part-one/4000-278744/,0 days 00:00:00
6,X-Men: Schism,2011,2,Issue,2011-09-01,Comicvine,41281,281713,X-Men: Schism,2011, ,https://comicvine.gamespot.com/x-men-schism-2-schism-part-two/4000-281713/,30 days 00:00:00
7,X-Men: Schism,2011,3,Issue,2011-10-01,Comicvine,41281,286947,X-Men: Schism,2011, ,https://comicvine.gamespot.com/x-men-schism-3-schism-part-three/4000-286947/,0 days 00:00:00
8,Generation Hope,2011,10,Issue,2011-10-01,Comicvine,36469,286948,Generation Hope,2011, ,https://comicvine.gamespot.com/generation-hope-10-schism-part-1/4000-286948/,31 days 00:00:00
9,Generation Hope,2011,11,Issue,2011-11-01,Comicvine,36469,293389,Generation Hope,2011, ,https://comicvine.gamespot.com/generation-hope-11-schism-part-2/4000-293389/,20 days 00:00:00
10,X-Men: Schism,2011,4,Issue,2011-11-21,Comicvine,41281,293380,X-Men: Schism,2011, ,https://comicvine.gamespot.com/x-men-schism-4-schism-part-four/4000-293380/,10 days 00:00:00
11,X-Men: Schism,2011,5,Issue,2011-12-01,Comicvine,41281,294049,X-Men: Schism,2011, ,https://comicvine.gamespot.com/x-men-schism-5-schism-part-five/4000-294049/,0 days 00:00:00
