,SeriesName,SeriesStartYear,IssueNum,IssueType,CoverDate,Name,SeriesID,IssueID,CV Series Name,CV Series Year,CV Cover Image,CV Issue URL,Days Between Issues
1,X-Men: Second Coming,2010,1,Issue,2010-05-01,Comicvine,32271,202574,X-Men: Second Coming,2010, ,https://comicvine.gamespot.com/x-men-second-coming-1-chapter-one/4000-202574/,31 days 00:00:00
2,Uncanny X-Men,1981,523,Issue,2010-06-01,Comicvine,3092,204515,The Uncanny X-Men,1981, ,https://comicvine.gamespot.com/the-uncanny-x-men-523-second-coming-chapter-two/4000-204515/,0 days 00:00:00
3,New Mutants,2009,12,Issue,2010-06-01,Comicvine,26327,206640,New Mutants,2009, ,https://comicvine.gamespot.com/new-mutants-12-fall-of-a-new-mutant/4000-206640/,0 days 00:00:00
4,X-Men: Legacy,2008,235,Issue,2010-06-01,Comicvine,20691,208533,X-Men: Legacy,2008, ,https://comicvine.gamespot.com/x-men-legacy-235-second-coming-chapter-four/4000-208533/,0 days 00:00:00
5,X-Factor,2006,204,Issue,2010-06-01,Comicvine,18109,208661,X-Factor,2006, ,https://comicvine.gamespot.com/x-factor-204-2nd-coming-revelations/4000-208661/,0 days 00:00:00
6,X-Force,2008,26,Issue,2010-06-01,Comicvine,20511,210231,X-Force,2008, ,https://comicvine.gamespot.com/x-force-26-second-coming-chapter-5/4000-210231/,30 days 00:00:00
7,Uncanny X-Men,1981,524,Issue,2010-07-01,Comicvine,3092,211929,The Uncanny X-Men,1981, ,https://comicvine.gamespot.com/the-uncanny-x-men-524-second-coming-chapter-six/4000-211929/,0 days 00:00:00
8,X-Men: Hellbound,2010,1,Issue,2010-07-01,Comicvine,32928,211930,X-Men: Hellbound,2010, ,https://comicvine.gamespot.com/x-men-hellbound-1-part-1/4000-211930/,11 days 00:00:00
9,New Mutants,2009,13,Issue,2010-07-12,Comicvine,26327,213447,New Mutants,2009, ,https://comicvine.gamespot.com/new-mutants-13-second-coming-chapter-seven/4000-213447/,11 days 00:00:00
10,X-Men: Blind Science,2010,1,Issue,2010-07-01,Comicvine,33351,216185,X-Men: Blind Science,2010, ,https://comicvine.gamespot.com/x-men-blind-science-1/4000-216185/,18 days 00:00:00
11,X-Men: Legacy,2008,236,Issue,2010-07-19,Comicvine,20691,214734,X-Men: Legacy,2008, ,https://comicvine.gamespot.com/x-men-legacy-236-second-coming-chapter-eight/4000-214734/,18 days 00:00:00
12,X-Factor,2006,205,Issue,2010-07-01,Comicvine,18109,214767,X-Factor,2006, ,https://comicvine.gamespot.com/x-factor-205/4000-214767/,25 days 00:00:00
13,X-Force,2008,27,Issue,2010-07-26,Comicvine,20511,215972,X-Force,2008, ,https://comicvine.gamespot.com/x-force-27-end-of-the-line/4000-215972/,6 days 00:00:00
14,Uncanny X-Men,1981,525,Issue,2010-08-01,Comicvine,3092,218329,The Uncanny X-Men,1981, ,https://comicvine.gamespot.com/the-uncanny-x-men-525-second-coming-chapter-ten/4000-218329/,0 days 00:00:00
15,X-Men: Hellbound,2010,2,Issue,2010-08-01,Comicvine,32928,218294,X-Men: Hellbound,2010, ,https://comicvine.gamespot.com/x-men-hellbound-2-part-2/4000-218294/,16 days 00:00:00
16,New Mutants,2009,14,Issue,2010-08-17,Comicvine,26327,219419,New Mutants,2009, ,https://comicvine.gamespot.com/new-mutants-14-second-coming-chapter-eleven/4000-219419/,16 days 00:00:00
17,X-Men: Legacy,2008,237,Issue,2010-08-01,Comicvine,20691,220732,X-Men: Legacy,2008, ,https://comicvine.gamespot.com/x-men-legacy-237-second-coming-chapter-twelve/4000-220732/,0 days 00:00:00
18,X-Factor,2006,206,Issue,2010-08-01,Comicvine,18109,220789,X-Factor,2006, ,https://comicvine.gamespot.com/x-factor-206/4000-220789/,31 days 00:00:00
19,X-Force,2008,28,Issue,2010-09-01,Comicvine,20511,223173,X-Force,2008, ,https://comicvine.gamespot.com/x-force-28-last-stand/4000-223173/,0 days 00:00:00
20,X-Men: Hellbound,2010,3,Issue,2010-09-01,Comicvine,32928,224510,X-Men: Hellbound,2010, ,https://comicvine.gamespot.com/x-men-hellbound-3-part-3/4000-224510/,0 days 00:00:00
21,X-Men: Second Coming,2010,2,Issue,2010-09-01,Comicvine,32271,224511,X-Men: Second Coming,2010, ,https://comicvine.gamespot.com/x-men-second-coming-2-sacrifices/4000-224511/,0 days 00:00:00
