,SeriesName,SeriesStartYear,IssueNum,IssueType,CoverDate,Name,SeriesID,IssueID,CV Series Name,CV Series Year,CV Cover Image,CV Issue URL,Days Between Issues
1,Scarlet Witch,2016,10,Issue,2016-11-30,Comicvine,86552,549523,Scarlet Witch,2015, ,https://comicvine.gamespot.com/issue/4000-549523/,31 days 00:00:00
2,Scarlet Witch,2016,11,Issue,2016-12-31,Comicvine,86552,552168,Scarlet Witch,2015, ,https://comicvine.gamespot.com/issue/4000-552168/,31 days 00:00:00
3,Scarlet Witch,2016,12,Issue,2017-01-31,Comicvine,86552,556477,Scarlet Witch,2015, ,https://comicvine.gamespot.com/issue/4000-556477/,28 days 00:00:00
4,Scarlet Witch,2016,13,Issue,2017-02-28,Comicvine,86552,563724,Scarlet Witch,2015, ,https://comicvine.gamespot.com/issue/4000-563724/,31 days 00:00:00
5,Scarlet Witch,2016,14,Issue,2017-03-31,Comicvine,86552,574874,Scarlet Witch,2015, ,https://comicvine.gamespot.com/issue/4000-574874/,30 days 00:00:00
6,Scarlet Witch,2016,15,Issue,2017-04-30,Comicvine,86552,582542,Scarlet Witch,2015, ,https://comicvine.gamespot.com/issue/4000-582542/,120 days 00:00:00
7,Ms. Marvel,2015,12,Issue,2016-12-31,Comicvine,86114,555532,Ms. Marvel,2015, ,https://comicvine.gamespot.com/issue/4000-555532/,31 days 00:00:00
8,Ms. Marvel,2015,13,Issue,2017-01-31,Comicvine,86114,562600,Ms. Marvel,2015, ,https://comicvine.gamespot.com/issue/4000-562600/,31 days 00:00:00
9,Captain America: Sam Wilson,2015,14,Issue,2016-12-31,Comicvine,85274,553949,Captain America: Sam Wilson,2015, ,https://comicvine.gamespot.com/captain-america-sam-wilson-14-take-back-the-shield/4000-553949/,31 days 00:00:00
10,Captain America: Sam Wilson,2015,15,Issue,2017-01-31,Comicvine,85274,558410,Captain America: Sam Wilson,2015, ,https://comicvine.gamespot.com/captain-america-sam-wilson-15/4000-558410/,28 days 00:00:00
11,Captain America: Sam Wilson,2015,16,Issue,2017-02-28,Comicvine,85274,569327,Captain America: Sam Wilson,2015, ,https://comicvine.gamespot.com/captain-america-sam-wilson-16/4000-569327/,28 days 00:00:00
12,Squadron Supreme,2016,13,Issue,2017-01-31,Comicvine,86716,558423,Squadron Supreme,2015, ,https://comicvine.gamespot.com/issue/4000-558423/,28 days 00:00:00
