,SeriesName,SeriesStartYear,IssueNum,IssueType,CoverDate,Name,SeriesID,IssueID,CV Series Name,CV Series Year,CV Cover Image,CV Issue URL,Days Between Issues
1,House of X,2019,1,Issue,2019-09-01,Comicvine,120309,714236,House of X,2019, ,https://comicvine.gamespot.com/house-of-x-1-the-house-that-xavier-built/4000-714236/,0 days 00:00:00
2,Power of X,2019,1,Issue,2019-09-01,Comicvine,120407,714669,Powers of X,2019, ,https://comicvine.gamespot.com/issue/4000-714669/,30 days 00:00:00
3,House of X,2019,2,Issue,2019-10-01,Comicvine,120309,715306,House of X,2019, ,https://comicvine.gamespot.com/house-of-x-2-the-uncanny-life-of-moira-x/4000-715306/,0 days 00:00:00
4,Power of X,2019,2,Issue,2019-10-01,Comicvine,120407,716371,Powers of X,2019, ,https://comicvine.gamespot.com/issue/4000-716371/,0 days 00:00:00
5,House of X,2019,3,Issue,2019-10-01,Comicvine,120309,717519,House of X,2019, ,https://comicvine.gamespot.com/house-of-x-3-once-more-unto-the-breach/4000-717519/,0 days 00:00:00
6,Power of X,2019,3,Issue,2019-10-01,Comicvine,120407,716968,Powers of X,2019, ,https://comicvine.gamespot.com/issue/4000-716968/,31 days 00:00:00
7,House of X,2019,4,Issue,2019-11-01,Comicvine,120309,718128,House of X,2019, ,https://comicvine.gamespot.com/house-of-x-4-it-will-be-done/4000-718128/,0 days 00:00:00
8,Power of X,2019,4,Issue,2019-11-01,Comicvine,120407,718763,Powers of X,2019, ,https://comicvine.gamespot.com/issue/4000-718763/,0 days 00:00:00
9,House of X,2019,5,Issue,2019-11-01,Comicvine,120309,719439,House of X,2019, ,https://comicvine.gamespot.com/house-of-x-5-society/4000-719439/,0 days 00:00:00
10,Power of X,2019,5,Issue,2019-11-01,Comicvine,120407,720169,Powers of X,2019, ,https://comicvine.gamespot.com/issue/4000-720169/,30 days 00:00:00
11,House of X,2019,6,Issue,2019-12-01,Comicvine,120309,721154,House of X,2019, ,https://comicvine.gamespot.com/house-of-x-6-i-am-not-ashamed/4000-721154/,0 days 00:00:00
12,Power of X,2019,6,Issue,2019-12-01,Comicvine,120407,721789,Powers of X,2019, ,https://comicvine.gamespot.com/issue/4000-721789/,0 days 00:00:00
13,X-Men,2019,1,Issue,2019-12-01,Comicvine,122077,723121,X-Men,2019, ,https://comicvine.gamespot.com/x-men-1-pax-krakoa/4000-723121/,31 days 00:00:00
14,New Mutants,2020,1,Issue,2020-01-01,Comicvine,122666,726210,New Mutants,2019, ,https://comicvine.gamespot.com/issue/4000-726210/,0 days 00:00:00
15,New Mutants,2020,2,Issue,2020-01-01,Comicvine,122666,728977,New Mutants,2019, ,https://comicvine.gamespot.com/issue/4000-728977/,31 days 00:00:00
16,New Mutants,2020,3,Issue,2020-02-01,Comicvine,122666,730341,New Mutants,2019, ,https://comicvine.gamespot.com/issue/4000-730341/,0 days 00:00:00
17,New Mutants,2020,4,Issue,2020-02-01,Comicvine,122666,731522,New Mutants,2019, ,https://comicvine.gamespot.com/issue/4000-731522/,29 days 00:00:00
18,New Mutants,2020,6,Issue,2020-03-01,Comicvine,122666,735526,New Mutants,2019, ,https://comicvine.gamespot.com/issue/4000-735526/,91 days 00:00:00
19,Marauders,2019,1,Issue,2019-12-01,Comicvine,122218,723862,Marauders,2019, ,https://comicvine.gamespot.com/marauders-1-im-on-a-boat/4000-723862/,0 days 00:00:00
20,Excalibur,2019,1,Issue,2019-12-01,Comicvine,122488,725247,Excalibur,2019, ,https://comicvine.gamespot.com/excalibur-1-verse-i-the-accolade-of-betsy-braddock/4000-725247/,31 days 00:00:00
21,Excalibur,2019,2,Issue,2020-01-01,Comicvine,122488,728420,Excalibur,2019, ,https://comicvine.gamespot.com/excalibur-2-a-tower-of-flowers/4000-728420/,31 days 00:00:00
