,SeriesName,SeriesStartYear,IssueNum,IssueType,CoverDate,Name,SeriesID,IssueID,CV Series Name,CV Series Year,CV Cover Image,CV Issue URL,Days Between Issues
1,Avengers,2018,1,Issue,2018-07-31,Comicvine,110496,668770,Avengers,2018, ,https://comicvine.gamespot.com/avengers-1-the-final-host/4000-668770/,30 days 00:00:00
2,Avengers,2018,2,Issue,2018-07-01,Comicvine,110496,670106,Avengers,2018, ,https://comicvine.gamespot.com/avengers-2-still-avenging-after-all-these-years/4000-670106/,31 days 00:00:00
3,Avengers,2018,3,Issue,2018-08-01,Comicvine,110496,674123,Avengers,2018, ,https://comicvine.gamespot.com/avengers-3-where-space-gods-go-to-die/4000-674123/,31 days 00:00:00
4,Avengers,2018,4,Issue,2018-09-01,Comicvine,110496,675969,Avengers,2018, ,https://comicvine.gamespot.com/avengers-4-a-battle-that-was-lost-a-million-years-/4000-675969/,0 days 00:00:00
5,Avengers,2018,5,Issue,2018-09-01,Comicvine,110496,677273,Avengers,2018, ,https://comicvine.gamespot.com/avengers-5-the-secret-origin-of-the-marvel-univers/4000-677273/,30 days 00:00:00
6,Avengers,2018,6,Issue,2018-10-01,Comicvine,110496,680719,Avengers,2018, ,https://comicvine.gamespot.com/avengers-6-planet-of-pathogens/4000-680719/,30 days 00:00:00
7,X-Men: Red,2018,6,Issue,2018-09-01,Comicvine,108548,677306,X-Men: Red,2018, ,https://comicvine.gamespot.com/x-men-red-6-the-hate-machine-part-6-learn-to-hate/4000-677306/,30 days 00:00:00
8,X-Men: Red,2018,7,Issue,2018-10-01,Comicvine,108548,680744,X-Men: Red,2018, ,https://comicvine.gamespot.com/x-men-red-7-the-hate-machine-part-7-atlantis-smash/4000-680744/,31 days 00:00:00
9,X-Men: Red,2018,8,Issue,2018-11-01,Comicvine,108548,686403,X-Men: Red,2018, ,https://comicvine.gamespot.com/x-men-red-8-the-hate-machine-part-8-global-hatred/4000-686403/,30 days 00:00:00
10,X-Men: Red,2018,9,Issue,2018-12-01,Comicvine,108548,689884,X-Men: Red,2018, ,https://comicvine.gamespot.com/x-men-red-9-the-hate-machine-part-9-grey-vs-grey/4000-689884/,31 days 00:00:00
11,X-Men: Red,2018,10,Issue,2019-01-01,Comicvine,108548,691400,X-Men: Red,2018, ,https://comicvine.gamespot.com/x-men-red-10-the-hate-machine-part-10-mutant-natio/4000-691400/,31 days 00:00:00
12,X-Men: Red,2018,11,Issue,2019-02-01,Comicvine,108548,694937,X-Men: Red,2018, ,https://comicvine.gamespot.com/x-men-red-11-the-hate-machine-part-11-waging-peace/4000-694937/,153 days 00:00:00
13,The Life of Captain Marvel,2018,1,Issue,2018-09-01,Comicvine,112325,677284,The Life of Captain Marvel,2018, ,https://comicvine.gamespot.com/the-life-of-captain-marvel-1-part-one-trapped/4000-677284/,30 days 00:00:00
14,The Life of Captain Marvel,2018,2,Issue,2018-10-01,Comicvine,112325,680728,The Life of Captain Marvel,2018, ,https://comicvine.gamespot.com/the-life-of-captain-marvel-2-part-two-hunted/4000-680728/,31 days 00:00:00
15,The Life of Captain Marvel,2018,3,Issue,2018-11-01,Comicvine,112325,685847,The Life of Captain Marvel,2018, ,https://comicvine.gamespot.com/the-life-of-captain-marvel-3-part-three-caught/4000-685847/,30 days 00:00:00
16,The Life of Captain Marvel,2018,4,Issue,2018-12-01,Comicvine,112325,689044,The Life of Captain Marvel,2018, ,https://comicvine.gamespot.com/the-life-of-captain-marvel-4-part-four-challenged/4000-689044/,62 days 00:00:00
17,The Life of Captain Marvel,2018,5,Issue,2019-02-01,Comicvine,112325,695640,The Life of Captain Marvel,2018, ,https://comicvine.gamespot.com/the-life-of-captain-marvel-5-part-five-championed/4000-695640/,184 days 00:00:00
18,Thor,2018,1,Issue,2018-08-01,Comicvine,111590,673034,Thor,2018, ,https://comicvine.gamespot.com/thor-1-god-of-thunder-reborn-the-grace-of-thor/4000-673034/,0 days 00:00:00
19,Thor,2018,2,Issue,2018-08-01,Comicvine,111590,675157,Thor,2018, ,https://comicvine.gamespot.com/thor-2-the-odinson-boys-ride-again/4000-675157/,31 days 00:00:00
20,Thor,2018,3,Issue,2018-09-01,Comicvine,111590,677299,Thor,2018, ,https://comicvine.gamespot.com/thor-3-a-lovely-day-in-hel-for-a-wedding/4000-677299/,30 days 00:00:00
21,Thor,2018,4,Issue,2018-10-01,Comicvine,111590,680006,Thor,2018, ,https://comicvine.gamespot.com/thor-4-war-is-hel/4000-680006/,30 days 00:00:00
22,Cosmic Ghost Rider,2018,1,Issue,2018-09-01,Comicvine,112031,675974,Cosmic Ghost Rider,2018, ,https://comicvine.gamespot.com/cosmic-ghost-rider-1/4000-675974/,30 days 00:00:00
23,Cosmic Ghost Rider,2018,2,Issue,2018-10-01,Comicvine,112031,678530,Cosmic Ghost Rider,2018, ,https://comicvine.gamespot.com/cosmic-ghost-rider-2/4000-678530/,31 days 00:00:00
24,Cosmic Ghost Rider,2018,3,Issue,2018-11-01,Comicvine,112031,683825,Cosmic Ghost Rider,2018, ,https://comicvine.gamespot.com/cosmic-ghost-rider-3/4000-683825/,30 days 00:00:00
25,Cosmic Ghost Rider,2018,4,Issue,2018-12-01,Comicvine,112031,687007,Cosmic Ghost Rider,2018, ,https://comicvine.gamespot.com/cosmic-ghost-rider-4/4000-687007/,31 days 00:00:00
26,Cosmic Ghost Rider,2018,5,Issue,2019-01-01,Comicvine,112031,692061,Cosmic Ghost Rider,2018, ,https://comicvine.gamespot.com/cosmic-ghost-rider-5/4000-692061/,184 days 00:00:00
27,Black Panther,2018,1,Issue,2018-07-01,Comicvine,111034,670739,Black Panther,2018, ,https://comicvine.gamespot.com/black-panther-1-book-1-many-thousands-gone/4000-670739/,31 days 00:00:00
28,Black Panther,2018,2,Issue,2018-08-01,Comicvine,111034,675136,Black Panther,2018, ,https://comicvine.gamespot.com/black-panther-2-book-1-many-thousand-gone/4000-675136/,61 days 00:00:00
29,Black Panther,2018,3,Issue,2018-10-01,Comicvine,111034,680721,Black Panther,2018, ,https://comicvine.gamespot.com/black-panther-3-book-1-many-thousands-gone/4000-680721/,31 days 00:00:00
30,Black Panther,2018,4,Issue,2018-11-01,Comicvine,111034,686374,Black Panther,2018, ,https://comicvine.gamespot.com/black-panther-4-book-1-many-thousands-gone/4000-686374/,30 days 00:00:00
31,Black Panther,2018,5,Issue,2018-12-01,Comicvine,111034,690807,Black Panther,2018, ,https://comicvine.gamespot.com/black-panther-5-book-1-many-thousands-gone/4000-690807/,31 days 00:00:00
32,Black Panther,2018,6,Issue,2019-01-01,Comicvine,111034,693456,Black Panther,2018, ,https://comicvine.gamespot.com/black-panther-6-book-1-many-thousands-gone/4000-693456/,92 days 00:00:00
33,Cable & Deadpool Annual,2018,1,Issue,2018-10-01,Comicvine,112797,679987,Cable Deadpool Annual,2018, ,https://comicvine.gamespot.com/cable-deadpool-annual-1/4000-679987/,61 days 00:00:00
34,Doctor Strange,2018,1,Issue,2018-08-01,Comicvine,111415,672283,Doctor Strange,2018, ,https://comicvine.gamespot.com/doctor-strange-1-sorcerer-supreme-of-the-galaxy-pa/4000-672283/,0 days 00:00:00
35,Doctor Strange,2018,2,Issue,2018-08-01,Comicvine,111415,674130,Doctor Strange,2018, ,https://comicvine.gamespot.com/doctor-strange-2-sorcerer-supreme-of-the-galaxy-pa/4000-674130/,31 days 00:00:00
36,Doctor Strange,2018,3,Issue,2018-09-01,Comicvine,111415,675977,Doctor Strange,2018, ,https://comicvine.gamespot.com/doctor-strange-3-sorcerer-supreme-of-the-galaxy-pa/4000-675977/,30 days 00:00:00
37,Doctor Strange,2018,4,Issue,2018-10-01,Comicvine,111415,679990,Doctor Strange,2018, ,https://comicvine.gamespot.com/doctor-strange-4-sorcerer-supreme-of-the-galaxy-pa/4000-679990/,31 days 00:00:00
38,Doctor Strange,2018,5,Issue,2018-11-01,Comicvine,111415,685841,Doctor Strange,2018, ,https://comicvine.gamespot.com/doctor-strange-5-sorcerer-supreme-of-the-galaxy-pa/4000-685841/,154 days 00:00:00
39,Weapon H,2018,1,Issue,2018-05-31,Comicvine,109344,663592,Weapon H,2018, ,https://comicvine.gamespot.com/weapon-h-1-awol-part-1-untitled/4000-663592/,30 days 00:00:00
40,Weapon H,2018,2,Issue,2018-06-30,Comicvine,109344,666818,Weapon H,2018, ,https://comicvine.gamespot.com/weapon-h-2-awol-part-2/4000-666818/,1 days 00:00:00
41,Weapon H,2018,3,Issue,2018-07-01,Comicvine,109344,670127,Weapon H,2018, ,https://comicvine.gamespot.com/weapon-h-3/4000-670127/,31 days 00:00:00
42,Weapon H,2018,4,Issue,2018-08-01,Comicvine,109344,674144,Weapon H,2018, ,https://comicvine.gamespot.com/weapon-h-4/4000-674144/,31 days 00:00:00
43,Weapon H,2018,5,Issue,2018-09-01,Comicvine,109344,677304,Weapon H,2018, ,https://comicvine.gamespot.com/weapon-h-5/4000-677304/,63 days 00:00:00
44,Marvel Rising,2018,0,Issue,2018-06-30,Comicvine,110222,667648,Marvel Rising,2018, ,https://comicvine.gamespot.com/marvel-rising-0/4000-667648/,32 days 00:00:00
45,Marvel Rising: Alpha,2018,1,Issue,2018-08-01,Comicvine,111583,673022,Marvel Rising: Alpha,2018, ,https://comicvine.gamespot.com/marvel-rising-alpha-1-part-1/4000-673022/,31 days 00:00:00
46,Marvel Rising: Squirrel Girl & Ms. Marvel,2018,1,Issue,2018-09-01,Comicvine,112045,675983,Marvel Rising: Squirrel Girl & Ms. Marvel,2018, ,https://comicvine.gamespot.com/marvel-rising-squirrel-girl-and-ms-marvel-1-part-2/4000-675983/,30 days 00:00:00
47,Marvel Rising: Ms. Marvel & Squirrel Girl,2018,1,Issue,2018-10-01,Comicvine,112590,678537,Marvel Rising: Ms. Marvel & Squirrel Girl,2018, ,https://comicvine.gamespot.com/marvel-rising-ms-marvelsquirrel-girl-1-part-3/4000-678537/,31 days 00:00:00
48,Marvel Rising: Omega,2018,1,Issue,2018-11-01,Comicvine,113496,684913,Marvel Rising: Omega,2018, ,https://comicvine.gamespot.com/marvel-rising-omega-1-part-4/4000-684913/,61 days 00:00:00
49,Black Order,2019,1,Issue,2019-01-01,Comicvine,115237,692058,Black Order,2018, ,https://comicvine.gamespot.com/issue/4000-692058/,31 days 00:00:00
50,Black Order,2019,2,Issue,2019-02-01,Comicvine,115237,694905,Black Order,2018, ,https://comicvine.gamespot.com/issue/4000-694905/,28 days 00:00:00
51,Black Order,2019,3,Issue,2019-03-01,Comicvine,115237,696940,Black Order,2018, ,https://comicvine.gamespot.com/issue/4000-696940/,31 days 00:00:00
52,Black Order,2019,4,Issue,2019-04-01,Comicvine,115237,701302,Black Order,2018, ,https://comicvine.gamespot.com/issue/4000-701302/,30 days 00:00:00
53,Black Order,2019,5,Issue,2019-05-01,Comicvine,115237,702457,Black Order,2018, ,https://comicvine.gamespot.com/issue/4000-702457/,242 days 00:00:00
54,Amazing Spider-Man,2018,1,Issue,2018-09-01,Comicvine,112161,676689,The Amazing Spider-Man,2018, ,https://comicvine.gamespot.com/amazing-spider-man-1-back-to-basics-part-one/4000-676689/,0 days 00:00:00
55,Amazing Spider-Man,2018,2,Issue,2018-09-01,Comicvine,112161,677961,The Amazing Spider-Man,2018, ,https://comicvine.gamespot.com/amazing-spider-man-2-back-to-basics-part-two/4000-677961/,30 days 00:00:00
56,Amazing Spider-Man,2018,3,Issue,2018-10-01,Comicvine,112161,679403,The Amazing Spider-Man,2018, ,https://comicvine.gamespot.com/the-amazing-spider-man-3-back-to-basics-part-three/4000-679403/,0 days 00:00:00
57,Amazing Spider-Man,2018,4,Issue,2018-10-01,Comicvine,112161,680718,The Amazing Spider-Man,2018, ,https://comicvine.gamespot.com/the-amazing-spider-man-4-back-to-basics-part-four/4000-680718/,31 days 00:00:00
58,Amazing Spider-Man,2018,5,Issue,2018-11-01,Comicvine,112161,684899,The Amazing Spider-Man,2018, ,https://comicvine.gamespot.com/the-amazing-spider-man-5-back-to-basics-part-five/4000-684899/,124 days 00:00:00
59,Hunt for Wolverine,2018,1,Issue,2018-06-30,Comicvine,110091,667641,Hunt For Wolverine,2018, ,https://comicvine.gamespot.com/hunt-for-wolverine-1-secrets-and-lives-hunters-pry/4000-667641/,1 days 00:00:00
60,Hunt for Wolverine: Adamantium Agenda,2018,1,Issue,2018-07-01,Comicvine,110748,669451,Hunt For Wolverine: Adamantium Agenda,2018, ,https://comicvine.gamespot.com/hunt-for-wolverine-adamantium-agenda-1/4000-669451/,31 days 00:00:00
61,Hunt for Wolverine: Adamantium Agenda,2018,2,Issue,2018-08-01,Comicvine,110748,673019,Hunt For Wolverine: Adamantium Agenda,2018, ,https://comicvine.gamespot.com/hunt-for-wolverine-adamantium-agenda-2-angry-power/4000-673019/,31 days 00:00:00
62,Hunt for Wolverine: Adamantium Agenda,2018,3,Issue,2018-09-01,Comicvine,110748,676700,Hunt For Wolverine: Adamantium Agenda,2018, ,https://comicvine.gamespot.com/hunt-for-wolverine-adamantium-agenda-3-the-databas/4000-676700/,30 days 00:00:00
63,Hunt for Wolverine: Adamantium Agenda,2018,4,Issue,2018-10-01,Comicvine,110748,679413,Hunt For Wolverine: Adamantium Agenda,2018, ,https://comicvine.gamespot.com/hunt-for-wolverine-adamantium-agenda-4-logans-secr/4000-679413/,92 days 00:00:00
64,Hunt for Wolverine: Claws of a Killer,2018,1,Issue,2018-07-01,Comicvine,110921,670115,Hunt For Wolverine: Claws Of A Killer,2018, ,https://comicvine.gamespot.com/hunt-for-wolverine-claws-of-a-killer-1/4000-670115/,31 days 00:00:00
65,Hunt for Wolverine: Claws of a Killer,2018,2,Issue,2018-08-01,Comicvine,110921,674132,Hunt For Wolverine: Claws Of A Killer,2018, ,https://comicvine.gamespot.com/hunt-for-wolverine-claws-of-a-killer-2/4000-674132/,31 days 00:00:00
66,Hunt for Wolverine: Claws of a Killer,2018,3,Issue,2018-09-01,Comicvine,110921,677278,Hunt For Wolverine: Claws Of A Killer,2018, ,https://comicvine.gamespot.com/hunt-for-wolverine-claws-of-a-killer-3/4000-677278/,30 days 00:00:00
67,Hunt for Wolverine: Claws of a Killer,2018,4,Issue,2018-10-01,Comicvine,110921,679995,Hunt For Wolverine: Claws Of A Killer,2018, ,https://comicvine.gamespot.com/hunt-for-wolverine-claws-of-a-killer-4/4000-679995/,92 days 00:00:00
68,Hunt for Wolverine: Mystery in Madripoor,2018,1,Issue,2018-07-01,Comicvine,111043,670744,Hunt For Wolverine: Mystery In Madripoor,2018, ,https://comicvine.gamespot.com/hunt-for-wolverine-mystery-in-madripoor-1/4000-670744/,31 days 00:00:00
69,Hunt for Wolverine: Mystery in Madripoor,2018,2,Issue,2018-08-01,Comicvine,111043,675140,Hunt For Wolverine: Mystery In Madripoor,2018, ,https://comicvine.gamespot.com/hunt-for-wolverine-mystery-in-madripoor-2/4000-675140/,31 days 00:00:00
70,Hunt for Wolverine: Mystery in Madripoor,2018,3,Issue,2018-09-01,Comicvine,111043,677965,Hunt For Wolverine: Mystery In Madripoor,2018, ,https://comicvine.gamespot.com/hunt-for-wolverine-mystery-in-madripoor-3/4000-677965/,30 days 00:00:00
71,Hunt for Wolverine: Mystery in Madripoor,2018,4,Issue,2018-10-01,Comicvine,111043,680727,Hunt For Wolverine: Mystery In Madripoor,2018, ,https://comicvine.gamespot.com/hunt-for-wolverine-mystery-in-madripoor-4/4000-680727/,62 days 00:00:00
72,Hunt for Wolverine: Weapon Lost,2018,1,Issue,2018-07-31,Comicvine,110516,668777,Hunt For Wolverine: Weapon Lost,2018, ,https://comicvine.gamespot.com/hunt-for-wolverine-weapon-lost-1/4000-668777/,1 days 00:00:00
73,Hunt for Wolverine: Weapon Lost,2018,2,Issue,2018-08-01,Comicvine,110516,672284,Hunt For Wolverine: Weapon Lost,2018, ,https://comicvine.gamespot.com/hunt-for-wolverine-weapon-lost-2/4000-672284/,31 days 00:00:00
74,Hunt for Wolverine: Weapon Lost,2018,3,Issue,2018-09-01,Comicvine,110516,675980,Hunt For Wolverine: Weapon Lost,2018, ,https://comicvine.gamespot.com/hunt-for-wolverine-weapon-lost-3/4000-675980/,30 days 00:00:00
75,Hunt for Wolverine: Weapon Lost,2018,4,Issue,2018-10-01,Comicvine,110516,678534,Hunt For Wolverine: Weapon Lost,2018, ,https://comicvine.gamespot.com/hunt-for-wolverine-weapon-lost-4/4000-678534/,0 days 00:00:00
76,Hunt for Wolverine: Dead Ends,2018,1,Issue,2018-10-01,Comicvine,113074,682657,Hunt For Wolverine: Dead Ends,2018, ,https://comicvine.gamespot.com/hunt-for-wolverine-dead-ends-1/4000-682657/,31 days 00:00:00
77,Return of Wolverine,2018,1,Issue,2018-11-01,Comicvine,113726,685854,Return of Wolverine,2018, ,https://comicvine.gamespot.com/return-of-wolverine-1-chapter-one-hell/4000-685854/,30 days 00:00:00
78,Return of Wolverine,2018,2,Issue,2018-12-01,Comicvine,113726,689871,Return of Wolverine,2018, ,https://comicvine.gamespot.com/return-of-wolverine-2-chapter-two-limbo/4000-689871/,31 days 00:00:00
79,Return of Wolverine,2018,3,Issue,2019-01-01,Comicvine,113726,693470,Return of Wolverine,2018, ,https://comicvine.gamespot.com/return-of-wolverine-3-chapter-three-purgatory/4000-693470/,59 days 00:00:00
80,Return of Wolverine,2018,4,Issue,2019-03-01,Comicvine,113726,697642,Return of Wolverine,2018, ,https://comicvine.gamespot.com/return-of-wolverine-4-chapter-four-judgment/4000-697642/,31 days 00:00:00
81,Return of Wolverine,2018,5,Issue,2019-04-01,Comicvine,113726,701321,Return of Wolverine,2018, ,https://comicvine.gamespot.com/return-of-wolverine-5-chapter-five-heaven/4000-701321/,244 days 00:00:00
82,Weapon X,2017,17,Issue,2018-07-31,Comicvine,100709,668789,Weapon X,2017, ,https://comicvine.gamespot.com/weapon-x-17-sabretooths-in-charge-part-one/4000-668789/,30 days 00:00:00
83,Weapon X,2017,18,Issue,2018-07-01,Comicvine,100709,670764,Weapon X,2017, ,https://comicvine.gamespot.com/weapon-x-18-sabretooths-in-charge-part-two/4000-670764/,31 days 00:00:00
84,Weapon X,2017,19,Issue,2018-08-01,Comicvine,100709,672295,Weapon X,2017, ,https://comicvine.gamespot.com/weapon-x-19-sabretooths-in-charge-conclusion/4000-672295/,31 days 00:00:00
85,Weapon X,2017,20,Issue,2018-09-01,Comicvine,100709,675994,Weapon X,2017, ,https://comicvine.gamespot.com/weapon-x-20-if-he-dies-he-dies-part-one/4000-675994/,30 days 00:00:00
86,Weapon X,2017,21,Issue,2018-10-01,Comicvine,100709,678543,Weapon X,2017, ,https://comicvine.gamespot.com/weapon-x-21-if-he-dies-he-dies-conclusion/4000-678543/,92 days 00:00:00
87,Moon Knight,2016,195,Issue,2018-07-01,Comicvine,89613,670751,Moon Knight,2016, ,https://comicvine.gamespot.com/moon-knight-195-beware-the-collective/4000-670751/,31 days 00:00:00
88,Moon Knight,2016,196,Issue,2018-08-01,Comicvine,89613,675146,Moon Knight,2016, ,https://comicvine.gamespot.com/moon-knight-196-the-collective-unconscious/4000-675146/,31 days 00:00:00
89,Moon Knight,2016,197,Issue,2018-09-01,Comicvine,89613,677969,Moon Knight,2016, ,https://comicvine.gamespot.com/moon-knight-197/4000-677969/,30 days 00:00:00
90,Moon Knight,2016,198,Issue,2018-10-01,Comicvine,89613,682660,Moon Knight,2016, ,https://comicvine.gamespot.com/moon-knight-198/4000-682660/,31 days 00:00:00
91,Moon Knight,2016,199,Issue,2018-11-01,Comicvine,89613,686386,Moon Knight,2016, ,https://comicvine.gamespot.com/moon-knight-199/4000-686386/,30 days 00:00:00
92,Moon Knight,2016,200,Issue,2018-12-01,Comicvine,89613,689869,Moon Knight,2016, ,https://comicvine.gamespot.com/moon-knight-200/4000-689869/,154 days 00:00:00
93,Domino,2018,1,Issue,2018-06-30,Comicvine,109761,665913,Domino,2018, ,https://comicvine.gamespot.com/domino-1-killer-instinct-part-one-lottery/4000-665913/,1 days 00:00:00
94,Domino,2018,2,Issue,2018-07-01,Comicvine,109761,669448,Domino,2018, ,https://comicvine.gamespot.com/domino-2-killer-instinct-part-two-topaz/4000-669448/,31 days 00:00:00
95,Domino,2018,3,Issue,2018-08-01,Comicvine,109761,673017,Domino,2018, ,https://comicvine.gamespot.com/domino-3-killer-instinct-part-three-no-luck-at-all/4000-673017/,31 days 00:00:00
96,Domino,2018,4,Issue,2018-09-01,Comicvine,109761,676698,Domino,2018, ,https://comicvine.gamespot.com/domino-4-killer-instinct-part-four-like-a-sword-ma/4000-676698/,30 days 00:00:00
97,Domino,2018,5,Issue,2018-10-01,Comicvine,109761,679410,Domino,2018, ,https://comicvine.gamespot.com/domino-5-killer-instinct-part-five-onimod/4000-679410/,31 days 00:00:00
98,Domino,2018,6,Issue,2018-11-01,Comicvine,109761,684903,Domino,2018, ,https://comicvine.gamespot.com/domino-6-killer-instinct-conclusion-sudden-death/4000-684903/,31 days 00:00:00
99,Daredevil,2015,606,Issue,2018-10-01,Comicvine,86343,679407,Daredevil,2016, ,https://comicvine.gamespot.com/issue/4000-679407/,0 days 00:00:00
