,SeriesName,SeriesStartYear,IssueNum,IssueType,CoverDate,Name,SeriesID,IssueID,CV Series Name,CV Series Year,CV Cover Image,CV Issue URL,Days Between Issues
1,X-Men,2013,7,Issue,2014-01-01,Comicvine,62383,433854,X-Men,2013, ,https://comicvine.gamespot.com/x-men-7-muertas-part-one-of-six/4000-433854/,31 days 00:00:00
2,X-Men,2013,8,Issue,2014-02-01,Comicvine,62383,437501,X-Men,2013, ,https://comicvine.gamespot.com/x-men-8-muertas-part-two-of-six/4000-437501/,28 days 00:00:00
3,X-Men,2013,9,Issue,2014-03-01,Comicvine,62383,442930,X-Men,2013, ,https://comicvine.gamespot.com/x-men-9-muertas-part-three-of-six/4000-442930/,60 days 00:00:00
4,X-Men,2013,10,Issue,2014-04-30,Comicvine,62383,444540,X-Men,2013, ,https://comicvine.gamespot.com/x-men-10-now-ghosts-part-1-muertas-part-four-of-si/4000-444540/,0 days 00:00:00
5,X-Men,2013,11,Issue,2014-04-30,Comicvine,62383,445824,X-Men,2013, ,https://comicvine.gamespot.com/x-men-11-ghosts-part-2-muertas-part-five-of-six/4000-445824/,31 days 00:00:00
6,X-Men,2013,12,Issue,2014-05-31,Comicvine,62383,448009,X-Men,2013, ,https://comicvine.gamespot.com/x-men-12-ghosts-conclusion-muertas-part-six-of-six/4000-448009/,30 days 00:00:00
7,All-New Doop,2014,1,Issue,2014-06-30,Comicvine,72960,450162,All-New Doop,2014, ,https://comicvine.gamespot.com/all-new-doop-1-the-real-battle-of-the-atom/4000-450162/,31 days 00:00:00
8,All-New Doop,2014,2,Issue,2014-07-31,Comicvine,72960,453500,All-New Doop,2014, ,https://comicvine.gamespot.com/all-new-doop-2/4000-453500/,31 days 00:00:00
9,All-New Doop,2014,3,Issue,2014-08-31,Comicvine,72960,457752,All-New Doop,2014, ,https://comicvine.gamespot.com/all-new-doop-3/4000-457752/,30 days 00:00:00
10,All-New Doop,2014,4,Issue,2014-09-30,Comicvine,72960,460406,All-New Doop,2014, ,https://comicvine.gamespot.com/all-new-doop-4/4000-460406/,61 days 00:00:00
11,All-New Doop,2014,5,Issue,2014-11-30,Comicvine,72960,464105,All-New Doop,2014, ,https://comicvine.gamespot.com/all-new-doop-5/4000-464105/,183 days 00:00:00
12,Daredevil,2014,1,Issue,2014-05-31,Comicvine,72417,447992,Daredevil,2014, ,https://comicvine.gamespot.com/issue/4000-447992/,30 days 00:00:00
